# Data file generated by gp_save_table.m
# pairwise differences of ratings vs Ref
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.027142	0.513571	0.513571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	1.000000	0.996399	1.000000	0.997942	1.000000	0.000001	1.000000	0.000000	1.000000	0.997942	1.000000	1.000000	1.000000	1.000000	0.991770	0.997942	1.000000	1.000000	1.000000	1.000000	0.802469	1.000000	1.000000	0.919753	0.983539	0.969136	1.000000	1.000000	1.000000	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.755144	0.631173	0.789095	0.633745	0.786008	0.000002	1.000000	0.000001	0.835391	0.783951	0.672840	0.769547	0.578189	0.814815	0.639918	0.646091	0.798354	0.000000	0.781893	0.633745	0.654321	0.623457	0.823045	0.786008	0.800412	0.584362	0.783951	0.755144	0.611111	
"NFC-HOA 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_M27_rect_corrected.wav	0.306584	0.261317	0.538066	0.271605	0.537037	0.000001	1.000000	0.000000	0.545267	0.302469	0.271605	0.117284	0.405350	0.306584	0.283951	0.349794	0.230453	0.014403	0.588477	0.230453	0.541152	0.279835	0.279835	0.125514	0.537037	0.668724	0.606996	0.306584	0.438272	
"LWFS-VSS 1024 30"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.60_wfs_corrected.wav	0.397119	0.219650	0.469136	0.230453	0.469136	0.000001	1.000000	0.000000	0.166667	0.397119	0.240741	0.179012	0.187243	0.469136	0.230453	0.401235	0.532922	0.004115	0.469136	0.162551	0.448560	0.395062	0.425926	0.658436	0.374486	0.419753	0.271605	0.520576	0.641975	
"LWFS-VSS 1024 45"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.90_wfs_corrected.wav	0.495885	0.366255	0.586420	0.378601	0.582305	0.000002	1.000000	0.000001	0.646091	0.520576	0.479424	0.281893	0.378601	0.582305	0.467078	0.119342	0.713992	0.000000	0.818930	0.329218	0.495885	0.430041	0.563786	0.325103	0.551440	0.423868	0.510288	0.598765	0.637860	
"LWFS-SBL 1024 27M"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_max-rE_npw1024_corrected.wav	0.043210	0.005144	0.075617	0.006173	0.069959	0.000293	0.999879	0.000146	0.300412	0.100823	0.000000	0.000000	0.014403	0.039095	0.047325	0.065844	0.092593	0.006173	0.069959	0.045267	0.043210	0.039095	0.030864	-0.078189	0.053498	0.102881	0.092593	0.000000	0.002058	
"LWFS-SBL 1024 19R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M19_rect_npw1024_corrected.wav	0.129630	0.031893	0.201132	0.032922	0.199588	0.000007	0.999999	0.000003	0.224280	0.199588	0.127572	0.049383	0.028807	0.380658	0.024691	0.032922	0.152263	0.000000	0.152263	0.111111	0.037037	0.141975	0.205761	0.543210	0.129630	-0.020576	0.148148	0.242798	0.012346	
