# Data file generated by gp_save_table.m
# pairwise differences of ratings vs Ref
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.027142	0.513571	0.513571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	1.000000	0.997942	1.000000	0.997942	1.000000	0.000001	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.991770	1.000000	1.000000	0.997942	1.000000	1.000000	0.853909	1.000000	0.995885	1.000000	1.000000	0.942387	1.000000	1.000000	0.997942	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.724280	0.582305	0.826646	0.584362	0.823045	0.000001	1.000000	0.000000	0.773663	0.843621	0.759259	0.644033	0.294239	0.837449	0.576132	0.514403	0.783951	0.045267	0.794239	0.679012	0.666667	0.584362	0.724280	0.855967	0.823045	0.942387	0.555556	0.907407	0.707819	
"LWFS-SBL 1024 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_rect_npw1024_corrected.wav	0.524691	0.341564	0.689815	0.358025	0.687243	0.000002	1.000000	0.000001	0.411523	0.578189	0.450617	0.216049	0.135802	0.687243	0.292181	0.183128	0.524691	-0.002058	0.652263	0.399177	0.526749	0.409465	0.528807	0.697531	0.358025	0.804527	0.755144	0.742798	0.711934	
"LWFS-SBL 1024 27M"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_max-rE_npw1024_corrected.wav	0.055556	0.006687	0.113683	0.008230	0.106996	0.000024	0.999993	0.000012	0.106996	0.306584	0.000000	0.000000	0.008230	0.094650	0.045267	0.055556	0.065844	0.002058	0.133745	0.028807	0.045267	0.063786	0.039095	0.139918	0.133745	0.164609	0.069959	0.000000	-0.002058	
"LWFS-SBL 1024 23M"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M23_max-rE_npw1024_corrected.wav	0.055556	0.032407	0.082305	0.032922	0.080247	0.000005	0.999999	0.000002	0.055556	0.047325	0.030864	0.069959	0.016461	0.088477	0.053498	0.032922	0.051440	-0.002058	0.055556	0.030864	0.059671	0.113169	0.080247	0.248971	0.069959	0.160494	0.078189	0.152263	-0.002058	
"LWFS-SBL 1024 19R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M19_rect_npw1024_corrected.wav	0.213992	0.086420	0.373971	0.088477	0.366255	0.000002	1.000000	0.000001	0.590535	0.397119	0.230453	0.026749	0.080247	0.306584	0.065844	0.088477	0.213992	-0.002058	0.259259	0.069959	0.098765	0.209877	0.156379	0.434156	0.255144	0.545267	0.141975	0.366255	0.456790	
"LWFS-SBL 1024 19M"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M19_max-rE_npw1024_corrected.wav	0.195473	0.114712	0.476337	0.119342	0.467078	0.000002	1.000000	0.000001	0.061728	0.156379	0.100823	0.119342	0.061728	0.504115	0.195473	0.131687	0.125514	-0.002058	0.467078	0.129630	0.084362	0.290123	0.327160	0.576132	0.504115	0.553498	0.277778	0.537037	0.452675	
