# Data file generated by gp_save_table.m
# pairwise differences of ratings vs Ref
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.027142	0.513571	0.513571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	1.000000	0.989198	1.000000	0.991770	1.000000	0.000001	1.000000	0.000000	1.000000	0.962963	1.000000	1.000000	1.000000	0.981481	0.995885	1.000000	1.000000	0.993827	1.000000	0.997942	0.746914	1.000000	0.973251	1.000000	0.971193	0.991770	1.000000	1.000000	0.995885	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	0.786008	0.584877	0.898148	0.590535	0.897119	0.000001	1.000000	0.000000	0.773663	0.405350	0.724280	0.810700	0.407407	0.886831	0.590535	0.897119	0.901235	0.045267	0.567901	0.621399	0.432099	0.870370	0.751029	0.897119	0.903292	0.993827	0.786008	1.000000	0.995885	
"LWFS-VSS 1024 15"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.30_wfs_corrected.wav	0.666667	0.429527	0.792695	0.471193	0.783951	0.000002	1.000000	0.000001	0.878601	0.512346	0.471193	0.244856	0.139918	0.886831	0.818930	0.757202	0.600823	-0.006173	0.783951	0.302469	0.304527	0.590535	0.755144	0.724280	0.666667	0.843621	0.582305	0.693416	0.995885	
"LWFS-VSS 1024 22.5"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.45_wfs_corrected.wav	0.259259	0.144547	0.363169	0.150206	0.362140	0.000002	1.000000	0.000001	0.273663	0.127572	0.201646	0.150206	0.018519	0.502058	0.016461	0.281893	0.222222	-0.006173	0.288066	0.051440	0.187243	0.366255	0.222222	0.563786	0.362140	0.259259	0.337449	0.374486	0.456790	
"LWFS-VSS 1024 30"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.60_wfs_corrected.wav	0.109053	0.049383	0.238683	0.053498	0.238683	0.000002	1.000000	0.000001	0.072016	0.061728	0.160494	0.037037	0.014403	0.302469	0.000000	0.106996	0.109053	0.002058	0.456790	0.030864	0.074074	0.164609	0.238683	0.238683	0.234568	0.257202	0.148148	0.053498	0.458848	
"LWFS-VSS 1024 37.5"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.75_wfs_corrected.wav	0.109053	0.009774	0.235082	0.012346	0.232510	0.000041	0.999984	0.000021	0.257202	0.327160	0.213992	0.041152	0.012346	0.218107	0.000000	0.000000	0.109053	-0.006173	0.061728	0.109053	0.123457	0.232510	0.242798	0.442387	0.218107	0.002058	0.261317	0.074074	-0.002058	
"LWFS-VSS 1024 45"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.90_wfs_corrected.wav	0.028807	0.000000	0.055041	0.000000	0.051440	0.000354	0.999854	0.000177	0.034979	-0.012346	0.065844	0.010288	0.006173	0.209877	0.028807	0.000000	0.041152	-0.002058	0.051440	0.016461	0.049383	0.030864	0.078189	0.080247	0.146091	0.002058	0.000000	0.000000	0.000000	
