
# Surface 0 of 1 surfaces

# Curve title: "'linear_s4.00_N35_RcInf_Rl0.10_fal.dat' u 1:(-$2):3 binary matrix"

# Contour 0, label:  1.6e+03
-1.53769 1.53075 1600 
-1.52995 1.52764 1600 
-1.51759 1.52266 1600 
-1.49749 1.51457 1600 
-1.47996 1.50754 1600 
-1.47739 1.5065 1600 
-1.45729 1.4984 1600 
-1.43719 1.49033 1600 
-1.43001 1.48744 1600 
-1.41709 1.48223 1600 
-1.39698 1.47415 1600 
-1.38002 1.46734 1600 
-1.37688 1.46608 1600 
-1.35678 1.45797 1600 
-1.33668 1.4499 1600 
-1.33006 1.44724 1600 
-1.31658 1.44181 1600 
-1.29648 1.43372 1600 
-1.28008 1.42714 1600 
-1.27638 1.42565 1600 
-1.25628 1.41755 1600 
-1.23618 1.40948 1600 
-1.23012 1.40704 1600 
-1.21608 1.40138 1600 
-1.19598 1.39329 1600 
-1.18014 1.38693 1600 
-1.17588 1.38522 1600 
-1.15578 1.37712 1600 
-1.13568 1.36905 1600 
-1.13017 1.36683 1600 
-1.11558 1.36095 1600 
-1.09548 1.35287 1600 
-1.0802 1.34673 1600 
-1.07538 1.3448 1600 
-1.05528 1.33669 1600 
-1.03518 1.32863 1600 
-1.03023 1.32663 1600 
-1.01508 1.32053 1600 
-0.994975 1.31244 1600 
-0.980257 1.30653 1600 
-0.974874 1.30437 1600 
-0.954774 1.29627 1600 
-0.934673 1.2882 1600 
-0.93028 1.28643 1600 
-0.914573 1.2801 1600 
-0.894472 1.27202 1600 
-0.880316 1.26633 1600 
-0.874372 1.26394 1600 
-0.854271 1.25584 1600 
-0.834171 1.24778 1600 
-0.830334 1.24623 1600 
-0.81407 1.23967 1600 
-0.79397 1.23159 1600 
-0.780376 1.22613 1600 
-0.773869 1.22352 1600 
-0.753769 1.21541 1600 
-0.733668 1.20735 1600 
-0.730388 1.20603 1600 
-0.713568 1.19925 1600 
-0.693467 1.19116 1600 
-0.680436 1.18593 1600 
-0.673367 1.18309 1600 
-0.653266 1.17499 1600 
-0.633166 1.16693 1600 
-0.630442 1.16583 1600 
-0.613065 1.15882 1600 
-0.592965 1.15074 1600 

