# Data file generated by gp_save.m
# 
118.43	-1.5524	-0.0047495	4.7216	-1.5741	-1.5753	-1.5752	-1.5816	-1.5559	-0.5337	1.3757	1.3203	-2.0433	-2.0454	-2.0462	-2.0496	-2.052	-2.0433	-2.0433	-2.0433	-2.0433	-2.0433	-2.0433
123.82	-1.5069	-0.0046888	4.7184	-1.5264	-1.5275	-1.5273	-1.533	-1.5106	-0.53289	1.4005	1.0084	-2.053	-2.0548	-2.0555	-2.0587	-2.0594	-2.053	-2.053	-2.053	-2.053	-2.053	-2.0529
129.2	-1.4616	-0.00462	4.715	-1.4789	-1.4798	-1.4797	-1.4846	-1.4655	-0.52882	1.4241	0.67455	-2.0591	-2.0607	-2.0613	-2.0643	-2.0633	-2.0591	-2.0591	-2.0591	-2.0591	-2.0591	-2.0591
134.58	-1.4168	-0.0045416	4.7115	-1.4318	-1.4326	-1.4325	-1.4366	-1.4208	-0.52119	1.4465	0.31715	-2.0614	-2.0627	-2.0632	-2.066	-2.0633	-2.0614	-2.0614	-2.0614	-2.0614	-2.0614	-2.0613
139.97	-1.3726	-0.0044522	4.7079	-1.3853	-1.386	-1.3859	-1.3893	-1.3766	-0.50972	1.4676	-0.065537	-2.0594	-2.0605	-2.0609	-2.0634	-2.0591	-2.0594	-2.0594	-2.0594	-2.0594	-2.0594	-2.0593
145.35	-1.329	-0.00435	4.7041	-1.3396	-1.3402	-1.3401	-1.3428	-1.3332	-0.49418	1.4875	-0.4755	-2.0528	-2.0537	-2.054	-2.0563	-2.0504	-2.0528	-2.0528	-2.0528	-2.0528	-2.0528	-2.0527
150.73	-1.2864	-0.0042332	4.7002	-1.2948	-1.2952	-1.2952	-1.2971	-1.2907	-0.4744	1.506	-0.91499	-2.0413	-2.042	-2.0422	-2.0443	-2.0369	-2.0413	-2.0413	-2.0413	-2.0413	-2.0413	-2.0412
156.12	-1.2448	-0.0041002	4.6961	-1.251	-1.2514	-1.2514	-1.2526	-1.2492	-0.45026	1.5233	-1.3866	-2.0248	-2.0253	-2.0253	-2.0272	-2.0184	-2.0248	-2.0248	-2.0248	-2.0248	-2.0248	-2.0247
161.5	-1.2043	-0.0039495	4.6918	-1.2085	-1.2086	-1.2087	-1.2092	-1.2087	-0.42172	1.5392	-1.8932	-2.0031	-2.0034	-2.0034	-2.005	-1.9948	-2.0031	-2.0031	-2.0031	-2.0031	-2.0031	-2.003
166.88	-1.165	-0.0037802	4.6874	-1.1671	-1.1672	-1.1673	-1.1671	-1.1695	-0.3888	1.5539	-2.438	-1.9763	-1.9764	-1.9762	-1.9776	-1.9661	-1.9763	-1.9763	-1.9763	-1.9763	-1.9763	-1.9761
172.27	-1.127	-0.0035917	4.6829	-1.1272	-1.1271	-1.1272	-1.1264	-1.1316	-0.35159	1.5673	-3.0249	-1.9443	-1.9442	-1.944	-1.9452	-1.9324	-1.9443	-1.9443	-1.9443	-1.9443	-1.9443	-1.9441
177.65	-1.0904	-0.0033843	4.6782	-1.0886	-1.0885	-1.0886	-1.0871	-1.095	-0.31026	1.5796	-3.6577	-1.9073	-1.9071	-1.9067	-1.9077	-1.8938	-1.9073	-1.9073	-1.9073	-1.9073	-1.9073	-1.9072
183.03	-1.0552	-0.0031589	4.6734	-1.0516	-1.0513	-1.0515	-1.0494	-1.0598	-0.26504	1.5907	-4.3408	-1.8657	-1.8653	-1.8648	-1.8656	-1.8505	-1.8657	-1.8657	-1.8657	-1.8657	-1.8657	-1.8655
188.42	-1.0215	-0.0029168	4.6684	-1.0161	-1.0157	-1.0159	-1.0132	-1.0261	-0.21622	1.6007	-5.0785	-1.8196	-1.819	-1.8185	-1.8191	-1.803	-1.8196	-1.8196	-1.8196	-1.8196	-1.8196	-1.8195
193.8	-0.98922	-0.00266	4.6633	-0.98212	-0.98164	-0.98182	-0.97858	-0.99387	-0.16415	1.6097	-5.8744	-1.7696	-1.7688	-1.7682	-1.7686	-1.7516	-1.7696	-1.7696	-1.7696	-1.7696	-1.7696	-1.7694
199.18	-0.95849	-0.0023909	4.658	-0.94973	-0.94915	-0.94935	-0.94558	-0.96311	-0.10923	1.6178	-6.73	-1.716	-1.7151	-1.7144	-1.7146	-1.6967	-1.716	-1.716	-1.716	-1.716	-1.716	-1.7159
204.57	-0.92925	-0.002112	4.6526	-0.9189	-0.91823	-0.91845	-0.91417	-0.93383	-0.051887	1.6251	-7.6425	-1.6594	-1.6583	-1.6575	-1.6575	-1.6388	-1.6594	-1.6594	-1.6594	-1.6594	-1.6594	-1.6593
209.95	-0.90148	-0.0018261	4.6471	-0.88961	-0.88886	-0.88909	-0.88433	-0.906	0.0074249	1.6316	-8.5991	-1.6002	-1.599	-1.5982	-1.598	-1.5786	-1.6002	-1.6002	-1.6002	-1.6002	-1.6002	-1.6002
215.33	-0.87513	-0.0015358	4.6413	-0.86183	-0.86099	-0.86124	-0.85603	-0.87959	0.068233	1.6375	-9.5692	-1.5392	-1.5378	-1.5369	-1.5365	-1.5165	-1.5392	-1.5392	-1.5392	-1.5392	-1.5392	-1.5392
220.72	-0.85017	-0.0012438	4.6355	-0.8355	-0.83458	-0.83485	-0.82921	-0.85455	0.13006	1.6428	-10.49	-1.4768	-1.4753	-1.4743	-1.4738	-1.4532	-1.4768	-1.4768	-1.4768	-1.4768	-1.4768	-1.4768
226.1	-0.82653	-0.00095257	4.6294	-0.81056	-0.80957	-0.80985	-0.80381	-0.83081	0.19245	1.6477	-11.258	-1.4135	-1.4119	-1.4109	-1.4102	-1.3892	-1.4135	-1.4135	-1.4135	-1.4135	-1.4135	-1.4137
231.48	-0.80413	-0.00066427	4.6233	-0.78694	-0.78588	-0.78617	-0.77977	-0.8083	0.25493	1.6521	-11.734	-1.35	-1.3483	-1.3472	-1.3463	-1.3249	-1.35	-1.35	-1.35	-1.35	-1.35	-1.3502
236.87	-0.78289	-0.00038087	4.6169	-0.76455	-0.76343	-0.76373	-0.75698	-0.78693	0.3171	1.6562	-11.799	-1.2867	-1.2849	-1.2838	-1.2827	-1.2611	-1.2867	-1.2867	-1.2867	-1.2867	-1.2867	-1.287
242.25	-0.7627	-0.00010404	4.6105	-0.74329	-0.74211	-0.74242	-0.73536	-0.7666	0.37854	1.6601	-11.437	-1.2242	-1.2223	-1.2211	-1.2199	-1.198	-1.2242	-1.2242	-1.2242	-1.2242	-1.2242	-1.2246
247.63	-0.74346	0.0001648	4.6038	-0.72306	-0.72183	-0.72215	-0.7148	-0.74721	0.43892	1.6638	-10.742	-1.1628	-1.1608	-1.1596	-1.1582	-1.1362	-1.1628	-1.1628	-1.1628	-1.1628	-1.1628	-1.1632
253.02	-0.72506	0.00042453	4.5971	-0.70374	-0.70246	-0.70278	-0.69518	-0.72864	0.49791	1.6674	-9.8541	-1.1028	-1.1007	-1.0995	-1.098	-1.0759	-1.1028	-1.1028	-1.1028	-1.1028	-1.1028	-1.1034
