# Data file generated by gp_save.m
# 
-0.9	1.2	-1.0499	1.0713	-0.75008	1.299	-0.9	1.2	-0.80219	1.3137	-0.99782	1.0863	-0.9	1.2	-1.0499	1.0713	-0.75008	1.299
-0.9	1.1	-1.0499	0.97128	-0.75008	1.199	-0.82419	1.1348	-0.72637	1.2485	-0.92201	1.0211	-0.82419	1.1348	-0.97217	1.0084	-0.67533	1.2326
-0.9	1	-1.0499	0.87128	-0.75008	1.099	-0.74838	1.0696	-0.65056	1.1833	-0.8462	0.95585	-0.74838	1.0696	-0.89441	0.94553	-0.60058	1.1661
-0.9	0.9	-1.0499	0.77128	-0.75008	0.99899	-0.67257	1.0044	-0.57475	1.1181	-0.77039	0.89064	-0.67257	1.0044	-0.81665	0.88266	-0.52583	1.0997
-0.9	0.8	-1.0499	0.67128	-0.75008	0.89899	-0.59676	0.93915	-0.49894	1.0529	-0.69458	0.82543	-0.59676	0.93915	-0.73889	0.81978	-0.45108	1.0333
-0.9	0.7	-1.0499	0.57128	-0.75008	0.79899	-0.52095	0.87393	-0.42313	0.98765	-0.61877	0.76022	-0.52095	0.87393	-0.66113	0.75691	-0.37633	0.96686
-0.9	0.6	-1.0499	0.47128	-0.75008	0.69899	-0.44514	0.80872	-0.34732	0.92244	-0.54296	0.695	-0.44514	0.80872	-0.58337	0.69403	-0.30159	0.90043
-0.9	0.5	-1.0499	0.37128	-0.75008	0.59899	-0.36933	0.74351	-0.27151	0.85723	-0.46715	0.62979	-0.36933	0.74351	-0.50561	0.63116	-0.22684	0.834
-0.9	0.4	-1.0499	0.27128	-0.75008	0.49899	-0.29352	0.6783	-0.1957	0.79201	-0.39133	0.56458	-0.29352	0.6783	-0.42784	0.56828	-0.15209	0.76758
-0.9	0.3	-1.0499	0.17128	-0.75008	0.39899	-0.2177	0.61308	-0.11989	0.7268	-0.31552	0.49937	-0.2177	0.61308	-0.35008	0.50541	-0.077336	0.70115
-0.9	0.2	-1.0499	0.071284	-0.75008	0.29899	-0.14189	0.54787	-0.044075	0.66159	-0.23971	0.43415	-0.14189	0.54787	-0.27232	0.44253	-0.0025865	0.63472
-0.9	0.099997	-1.0499	-0.028716	-0.75008	0.19899	-0.066082	0.48266	0.031736	0.59638	-0.1639	0.36894	-0.066082	0.48266	-0.19456	0.37966	0.072163	0.5683
