# subject, condition, condition-id, source marked, avr x/m, avr y/m, avr z/m, avr yaw/rad, avr pitch/rad, avr roll/rad, std x/m, std y/m, std z/m, std yaw/rad, std pitch/rad, std roll/rad
15,0,77,1,0.09456760287284852,-0.043423140048980714,-0.008291292190551757,0.057911166971470626,-0.001713034845993526,-0.9106200314173375,9.101168822119413e-05,0.00016275458847176208,5.4488020837250996e-05,0.0003745511676156242,0.0002374351566935327,0.00048078661070610355
15,1,15,1,0.010297292470932006,-0.006678974628448487,-0.008052343130111694,0.06167594102823706,0.02003525095038275,-0.22651210302882352,0.0001819315482116233,5.366372838419743e-05,9.39349892355487e-05,0.0011369716292095368,0.0008142110094863937,0.0002860254476241605
15,2,69,1,0.053202444314956666,-0.002022385597229004,-0.00971524715423584,0.05886514904339481,0.005105520097437551,-0.5497643653752083,0.00022136564272606798,0.00022256400537909633,7.976129473445194e-05,0.00013366214541464595,0.0002909079434387903,0.00016312521756695438
15,3,61,1,-0.05341094732284546,-0.033877336978912355,-0.00878438949584961,0.043544456403478975,0.011410756522105669,0.6870552616568977,5.598394301770459e-05,0.00038445951409256884,4.8283766651099306e-05,0.0004095855890600745,0.0002633273464357432,8.011299240240459e-05
15,4,34,1,0.05421401262283325,-0.003441476821899414,-0.007959067821502686,0.04765981153962217,0.01434614398056279,-0.671957661498191,0.000177450442984093,2.4818893120142795e-05,2.375781625077841e-05,0.00022542323094874484,0.0001067160813149703,6.222444960553534e-05
15,5,66,1,0.053405648469924925,0.01639662981033325,-0.004932767152786255,0.06599496309027938,0.022359657214473947,-0.6372714635867304,0.0002689138355364566,0.00026936923917620986,0.00022959608967397532,0.002215711002482235,0.0011092868680383761,0.0013445929492022645
15,6,64,1,0.020604848861694336,0.017451727390289308,-0.0019896090030670165,0.0616145325196084,0.02020347664500555,-0.33959926539040364,0.00024613708001455716,5.967450934958781e-05,2.681152413791868e-05,0.000120125026715883,0.0002805133981021142,0.00018413610106167005
15,7,71,1,2.0706653594970702e-05,-0.004453694820404053,-0.0040909767150878905,0.052213783009013096,-0.0021149915911942525,0.1482101984922199,0.00011661383991784558,0.0004549701147875857,8.578473423883746e-05,0.0006933125456552427,0.000583247503147757,0.00021234653021602297
15,8,26,1,-0.0025629937648773194,-0.012275397777557373,-0.005630606412887573,0.05914453480103275,0.00808962511102672,0.06499072233813305,0.00021174173583295294,0.00015424600716958475,7.190319775777014e-05,0.0008261472825117512,0.0004055621330579304,0.0005402407415203588
15,9,11,1,-0.0012336671352386475,-0.042799413204193115,-0.003101205825805664,0.0215968186839103,0.014549146844590183,0.044300329622450715,5.850033131092736e-05,4.956100227817719e-05,5.2885197767894745e-05,0.00013386394584714734,9.827954089626498e-05,0.0005383527199711494
15,10,47,1,0.09406729340553284,-0.03606158494949341,-0.009842503070831298,0.061736911318485146,0.015176091678940426,-1.0699278347404262,0.00037490863206886174,0.00014424521320743574,0.00015629001817195272,0.0015727427047445956,0.0010305105644305443,0.0007106033182854942
15,11,1,1,0.03152463436126709,-0.04105000495910645,-0.0032027542591094972,0.01965420575482299,0.005902775177964561,-0.41956933257075385,0.0001246134629536431,0.00015459134209356171,3.592679098589157e-05,0.00019645571351591755,0.0004173368545678234,9.275647244242125e-05
15,12,41,1,0.005256277322769165,-0.050178587436676025,-0.002230650186538696,-0.0031016270977334004,0.00484265472021247,0.028191045794885267,0.0001979196495107873,0.00022422430317144663,8.114924244934182e-05,0.000944907554965192,0.00012452413398956965,0.00016938261552722954
15,13,49,1,0.026894479990005493,-0.04382741451263428,-0.004359775781631469,0.012508699524949093,0.006449911639876996,-0.3882781462966657,5.6622312218211796e-05,0.00011995054099754284,3.817991281786845e-05,0.0003396949533059408,0.00012214651279483755,0.0002503774423338377
15,14,44,1,0.029078203439712524,-0.033718550205230714,-0.005350416898727417,0.028590467776838196,0.015249309740377998,-0.46160232663504247,2.8936959912825258e-05,5.643101466535215e-05,2.7519025555374337e-05,0.00031912058575511156,0.00016354205657342295,5.489539456404658e-05
15,15,36,1,0.017343300580978393,-0.02963677644729614,-0.006755316257476806,0.04168935263387331,0.006954167289265801,-0.2167132415521972,9.85117974987131e-05,4.137871209499642e-05,2.785190799550391e-05,0.00030234389879557546,0.00028572850711974074,0.00042847993663717337
