
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d.dat', M) binary matrix"

# Contour 0, label:  2.5e+03
0.679069 -0.647993 2500 
0.679097 -0.648046 2500 
0.684558 -0.658361 2500 
0.689465 -0.667698 2500 
0.689741 -0.668729 2500 
0.695497 -0.679097 2500 
0.699833 -0.687351 2500 
0.700398 -0.689465 2500 
0.706436 -0.699833 2500 
0.710201 -0.707003 2500 
0.711052 -0.710201 2500 
0.717374 -0.720569 2500 
0.720569 -0.726654 2500 
0.721706 -0.730936 2500 
0.728313 -0.741304 2500 
0.730936 -0.746306 2500 
0.732357 -0.751672 2500 
0.73925 -0.76204 2500 
0.741304 -0.765957 2500 
0.743008 -0.772408 2500 
0.750188 -0.782776 2500 
0.751672 -0.785608 2500 
0.753656 -0.793144 2500 
0.761125 -0.803512 2500 

# Contour 3, label: 
0.0534343 0.533947 2500 
0.0570234 0.526778 2500 
0.0586973 0.523579 2500 
0.064028 0.513211 2500 
0.0673913 0.506492 2500 
0.0692986 0.502843 2500 
0.0746198 0.492475 2500 
0.0777592 0.486202 2500 
0.0807623 0.482107 2500 
0.0852096 0.471739 2500 
0.0881271 0.465908 2500 
0.0914555 0.461371 2500 
0.098495 0.451608 2500 
0.0988118 0.451003 2500 
0.102146 0.440635 2500 
0.108863 0.431327 2500 
0.109417 0.430268 2500 
0.112835 0.4199 2500 
0.119231 0.411042 2500 
0.12002 0.409532 2500 
0.123521 0.399164 2500 
0.129599 0.390754 2500 
0.130621 0.388796 2500 
0.135968 0.378428 2500 
0.139967 0.370461 2500 
0.141738 0.36806 2500 
0.146558 0.357692 2500 
0.150334 0.350166 2500 
0.152432 0.347324 2500 
0.157146 0.336957 2500 
0.160702 0.329866 2500 
0.163123 0.326589 2500 
0.167731 0.316221 2500 
0.17107 0.309564 2500 
0.173811 0.305853 2500 
0.181361 0.295485 2500 
0.181438 0.295221 2500 
0.184498 0.285117 2500 
0.191806 0.275085 2500 
0.191981 0.274749 2500 
0.195182 0.264381 2500 
0.202174 0.25479 2500 
0.202751 0.254013 2500 
0.205864 0.243645 2500 
0.212542 0.234492 2500 
0.213444 0.233278 2500 
0.216544 0.22291 2500 
0.22291 0.21419 2500 
0.224134 0.212542 2500 
0.227222 0.202174 2500 
0.233278 0.193885 2500 
0.234823 0.191806 2500 
0.237898 0.181438 2500 
0.243645 0.173577 2500 
0.245509 0.17107 2500 
0.248572 0.160702 2500 
0.254013 0.153265 2500 
0.256193 0.150334 2500 
0.263819 0.139967 2500 
0.264381 0.138007 2500 
0.266875 0.129599 2500 
0.274499 0.119231 2500 
0.274749 0.118357 2500 
0.277555 0.108863 2500 
0.285117 0.0985791 2500 
0.28518 0.098495 2500 
0.288232 0.0881271 2500 
0.295485 0.0782714 2500 
0.295868 0.0777592 2500 
0.298908 0.0673913 2500 
0.305853 0.0579604 2500 
0.306553 0.0570234 2500 
0.309582 0.0466555 2500 
0.316221 0.0376462 2500 
0.317237 0.0362876 2500 
0.320254 0.0259197 2500 
0.326589 0.0173288 2500 
0.327918 0.0155518 2500 
0.330924 0.00518395 2500 
0.336957 -0.00299171 2500 
0.338598 -0.00518395 2500 
0.345415 -0.0155518 2500 
0.347324 -0.0192053 2500 
0.349275 -0.0259197 2500 
0.356351 -0.0362876 2500 
0.357692 -0.038856 2500 
0.359951 -0.0466555 2500 
0.367286 -0.0570234 2500 
0.36806 -0.0585061 2500 
0.370624 -0.0673913 2500 
0.378221 -0.0777592 2500 
0.378428 -0.0781559 2500 
0.381296 -0.0881271 2500 
0.388796 -0.0982314 2500 
0.388994 -0.098495 2500 
0.391965 -0.108863 2500 
0.399164 -0.118554 2500 
0.399673 -0.119231 2500 
0.402633 -0.129599 2500 

# Contour 4, label: 
-0.451003 1.00056 2500 
-0.440635 1.00094 2500 
-0.430268 1.00131 2500 
-0.4199 1.00169 2500 
-0.409532 1.00206 2500 
-0.399164 1.00261 2500 
-0.388796 1.00297 2500 
-0.380926 1.01087 2500 
-0.378428 1.01336 2500 
-0.36806 1.01372 2500 
-0.357692 1.01425 2500 
-0.347324 1.01477 2500 
-0.336957 1.01512 2500 
-0.326589 1.01562 2500 
-0.316221 1.01625 2500 
-0.311304 1.02124 2500 
-0.305853 1.02668 2500 
-0.295485 1.0273 2500 
-0.285117 1.02789 2500 
-0.274749 1.02846 2500 
-0.264381 1.02912 2500 
-0.254013 1.02975 2500 
-0.243645 1.03045 2500 
-0.233278 1.03119 2500 
-0.22291 1.03127 2500 
-0.212542 1.02974 2500 
-0.203918 1.02124 2500 
-0.202174 1.01628 2500 
-0.196502 1.01087 2500 
-0.193407 1.0005 2500 
-0.191806 0.996185 2500 
-0.186989 0.990134 2500 
-0.182235 0.979766 2500 
-0.181438 0.977474 2500 
-0.176523 0.969398 2500 
-0.171368 0.95903 2500 
-0.17107 0.958274 2500 
-0.165359 0.948662 2500 
-0.160702 0.938948 2500 
-0.160261 0.938294 2500 
-0.154624 0.927926 2500 
-0.150334 0.918572 2500 
-0.14973 0.917559 2500 
-0.144163 0.907191 2500 
-0.139967 0.899844 2500 
-0.138011 0.896823 2500 
-0.133083 0.886455 2500 
-0.129599 0.879866 2500 
-0.127075 0.876087 2500 
-0.121813 0.865719 2500 
-0.119231 0.860283 2500 
-0.116229 0.855351 2500 
-0.110263 0.844983 2500 
-0.108863 0.841518 2500 
-0.105728 0.834615 2500 
-0.100024 0.824247 2500 
-0.098495 0.821086 2500 
-0.0946899 0.81388 2500 
-0.0895114 0.803512 2500 
-0.0881271 0.800651 2500 
-0.0841689 0.793144 2500 
-0.0777592 0.783598 2500 
-0.0771748 0.782776 2500 
-0.0728058 0.772408 2500 
-0.0673913 0.763452 2500 
-0.0666428 0.76204 2500 
