# Data file generated by gp_save.m
# 
10.767	-96.149	-96.357	-97.78	-94.25	-98.426	-98.74	-100.82	-95.239	-66.253	-66.246	-66.246	-66.206	-65.505	-65.504	-67.591	-63.023	-98.426	-98.688	-100.33	-96.002	-65.495	-65.536	-66.529	-64.276
21.533	-96.149	-96.357	-97.78	-94.25	-98.404	-98.726	-100.79	-95.227	-66.253	-66.246	-66.246	-66.206	-65.518	-65.537	-67.58	-63.079	-98.404	-98.674	-100.31	-95.99	-65.508	-65.575	-66.518	-64.34
32.3	-96.149	-96.357	-97.779	-94.25	-98.368	-98.702	-100.75	-95.207	-66.253	-66.246	-66.246	-66.206	-65.54	-65.591	-67.562	-63.172	-98.368	-98.653	-100.26	-95.97	-65.532	-65.641	-66.499	-64.446
43.066	-96.149	-96.356	-97.779	-94.249	-98.319	-98.671	-100.69	-95.18	-66.253	-66.246	-66.246	-66.206	-65.573	-65.665	-67.538	-63.303	-98.319	-98.623	-100.2	-95.944	-65.566	-65.732	-66.474	-64.594
53.833	-96.15	-96.356	-97.779	-94.249	-98.259	-98.631	-100.61	-95.147	-66.252	-66.246	-66.245	-66.207	-65.616	-65.759	-67.51	-63.469	-98.259	-98.586	-100.13	-95.912	-65.611	-65.847	-66.444	-64.784
64.6	-96.15	-96.356	-97.779	-94.249	-98.188	-98.585	-100.52	-95.11	-66.252	-66.245	-66.245	-66.207	-65.671	-65.87	-67.478	-63.671	-98.188	-98.542	-100.04	-95.876	-65.668	-65.985	-66.41	-65.015
75.366	-96.15	-96.356	-97.778	-94.249	-98.108	-98.533	-100.42	-95.069	-66.252	-66.245	-66.245	-66.207	-65.74	-65.997	-67.446	-63.905	-98.108	-98.494	-99.939	-95.836	-65.739	-66.142	-66.375	-65.283
86.133	-96.151	-96.356	-97.778	-94.248	-98.021	-98.476	-100.31	-95.025	-66.251	-66.245	-66.245	-66.208	-65.823	-66.135	-67.414	-64.167	-98.021	-98.441	-99.829	-95.795	-65.825	-66.314	-66.34	-65.586
96.899	-96.151	-96.355	-97.777	-94.248	-97.929	-98.416	-100.19	-94.981	-66.251	-66.245	-66.244	-66.208	-65.921	-66.28	-67.384	-64.45	-97.929	-98.385	-99.711	-95.752	-65.926	-66.496	-66.307	-65.915
107.67	-96.152	-96.355	-97.777	-94.248	-97.834	-98.352	-100.07	-94.937	-66.25	-66.244	-66.244	-66.209	-66.034	-66.425	-67.359	-64.746	-97.834	-98.326	-99.587	-95.711	-66.042	-66.681	-66.278	-66.261
118.43	-96.152	-96.355	-97.776	-94.247	-97.738	-98.286	-99.941	-94.895	-66.25	-66.244	-66.243	-66.209	-66.163	-66.563	-67.34	-65.042	-97.738	-98.265	-99.459	-95.671	-66.173	-66.859	-66.255	-66.61
129.2	-96.153	-96.354	-97.776	-94.247	-97.641	-98.218	-99.812	-94.855	-66.249	-66.243	-66.243	-66.21	-66.306	-66.688	-67.33	-65.322	-97.641	-98.202	-99.33	-95.633	-66.317	-67.022	-66.239	-66.943
139.97	-96.153	-96.354	-97.775	-94.246	-97.547	-98.148	-99.682	-94.818	-66.248	-66.243	-66.242	-66.21	-66.46	-66.791	-67.329	-65.569	-97.547	-98.137	-99.2	-95.598	-66.473	-67.158	-66.231	-67.239
150.73	-96.154	-96.353	-97.774	-94.246	-97.456	-98.076	-99.554	-94.783	-66.247	-66.242	-66.242	-66.211	-66.624	-66.865	-67.34	-65.766	-97.456	-98.071	-99.073	-95.567	-66.637	-67.259	-66.234	-67.477
161.5	-96.155	-96.353	-97.773	-94.245	-97.369	-98.002	-99.429	-94.752	-66.247	-66.242	-66.241	-66.212	-66.791	-66.906	-67.362	-65.899	-97.369	-98.003	-98.948	-95.538	-66.804	-67.319	-66.248	-67.64
172.27	-96.156	-96.352	-97.772	-94.245	-97.287	-97.926	-99.309	-94.723	-66.246	-66.241	-66.241	-66.213	-66.957	-66.913	-67.397	-65.961	-97.287	-97.932	-98.829	-95.512	-66.967	-67.335	-66.273	-67.719
183.03	-96.156	-96.352	-97.772	-94.244	-97.211	-97.847	-99.196	-94.696	-66.245	-66.24	-66.24	-66.213	-67.113	-66.887	-67.445	-65.952	-97.211	-97.858	-98.715	-95.488	-67.121	-67.309	-66.31	-67.714
193.8	-96.157	-96.351	-97.771	-94.244	-97.142	-97.765	-99.088	-94.67	-66.244	-66.24	-66.239	-66.214	-67.252	-66.832	-67.505	-65.883	-97.142	-97.78	-98.609	-95.464	-67.255	-67.248	-66.357	-67.639
204.57	-96.158	-96.351	-97.77	-94.243	-97.079	-97.679	-98.989	-94.643	-66.243	-66.239	-66.239	-66.215	-67.365	-66.756	-67.576	-65.767	-97.079	-97.698	-98.51	-95.44	-67.363	-67.159	-66.414	-67.512
