# subject, condition, condition-id, source marked, offset, avr x/m, avr y/m, avr z/m, avr yaw/rad, avr pitch/rad, avr roll/rad, std x/m, std y/m, std z/m, std yaw/rad, std pitch/rad, std roll/rad
15,0,30,1,-30,0.002098691463470459,-0.04347296953201294,0.004636615514755249,0.27874741256420654,-0.02563226224053891,0.011781311623135416,0.000123694082358838,7.238432921928994e-05,3.8146052964121055e-05,0.0007585453420131421,0.00023710311276052673,0.00013904257807603927
15,1,67,1,0,0.00852615237236023,-0.04951404333114624,0.0009553134441375732,-0.6189107978624702,0.004241897676229659,0.07051977949900347,0.00012647386089665772,0.00017540849132197806,2.4364746454557117e-05,0.00028827402366493615,7.718218445171148e-05,0.0002527047747381185
15,2,42,1,-30,0.0012609302997589112,-0.019611358642578125,0.0022623002529144286,0.6302240771278618,0.02346602989340996,-0.04530228958483655,6.269211012227984e-05,0.0002033908569934184,3.44517986859132e-05,0.0003880162159677332,0.00024432619923455746,0.0003194214422975474
15,3,53,1,-5,0.017270243167877196,-0.02353016138076782,-0.0014305174350738525,-0.29284249678328667,0.008947425509553708,-0.00564873037494335,0.00012751477076847136,0.00018477406078738396,2.7671997331303128e-05,0.00034730464452677347,0.0005094815772085726,0.0008739857792810295
15,4,19,1,-10,0.004502546787261963,-0.025804877281188965,-0.0008281469345092773,0.10606907699529493,-0.002253378542931044,-0.02914779068929471,0.00037124754007951464,0.00011917069525625576,1.5240640762865337e-05,0.000253770747905666,0.0007378969780560316,0.0002677931973105689
15,5,81,1,5,0.02269088625907898,-0.024558520317077635,-0.002849984169006348,-0.5413980467138948,0.01211889495700546,0.007917667271639369,0.00010015372363596418,2.4116472385569596e-05,2.4584568518503095e-05,0.00016578652819006448,0.00016817783706672254,0.00018219240766782562
15,6,1,1,5,0.006728112697601318,-0.005165421962738037,-0.0030803322792053224,-0.12755329367399712,-0.0018887181620065997,-0.03858990340663539,0.00014042702260756717,3.0581123626057603e-05,6.87014740027262e-05,0.0001788293045433331,0.000354987314431105,0.00034018388449298176
15,7,63,1,-5,0.025470209121704102,-0.01725400686264038,-0.0022480428218841554,-0.4198258189791858,0.013194471904609744,0.0009590416115210661,0.0002052729480050217,0.00035241184179118343,3.528957865795855e-05,0.0007094792954668156,0.00021577242624793618,0.0006270764759289084
15,8,6,1,30,0.019404035806655884,-0.02785872220993042,-0.003172677755355835,-0.776752099378732,0.01767436457466284,0.02632844906059914,0.00020400640156924827,9.522699580877605e-05,4.3031796518309956e-05,0.00014491381127708985,0.00029497901790211106,0.00041096439528611844
15,9,41,1,-10,0.01600409746170044,0.005206537246704101,-0.003834855556488037,-0.14642510771127815,-0.0009400179669829912,-0.04211743483163356,0.00027349895810689417,4.168911627465264e-05,2.7219018213345167e-05,0.0003077163854833811,0.0003630145195799658,0.0006772229385938579
15,10,7,1,0,0.03666213750839233,-0.009927034378051758,-0.004620087146759033,-0.49936301375460906,0.012158001730927431,-0.011986259031496005,0.00011540372104043058,6.075492992159471e-05,4.090805162884404e-05,0.000292533845619754,0.000509462313193667,0.0007194234168359103
15,11,39,1,-5,0.015341860055923463,0.01156303882598877,-0.00374411940574646,0.007319316969753205,0.005190530265821227,-0.0556063377625617,0.0001981230975621535,6.302571125284204e-05,1.9230539650627266e-05,0.0003984794117407402,0.00030009577233696246,0.0002766743803687969
15,12,26,1,5,0.05163275003433228,-0.010009968280792236,-0.006209361553192139,-0.4289601519996881,0.027482417388742054,-0.020822259579506733,0.00011640853595983341,6.0103334178701506e-05,6.900807386446206e-06,7.267681847847357e-05,0.0001898056913794842,5.8333846279479706e-05
