# subject, condition, condition-id, source marked, offset, avr x/m, avr y/m, avr z/m, avr yaw/rad, avr pitch/rad, avr roll/rad, std x/m, std y/m, std z/m, std yaw/rad, std pitch/rad, std roll/rad
3,0,60,1,10,-0.04182226061820984,0.008769989013671875,-0.002221417427062988,-0.35542315928729373,-0.03107684745700311,-0.03865233631005666,2.38939171401272e-05,0.00017098735733609766,4.105034501670114e-05,0.00021789088225019138,0.00048520284634073074,0.0008415500167122186
3,1,40,1,-10,-0.012527817487716674,0.012376987934112548,-0.0027491509914398192,-0.05046532567963498,-0.034613125049628116,-0.06436826321257713,8.802277217581453e-05,0.000248936034440915,2.2899751577333303e-05,6.814720991024378e-05,0.00023772291458912985,0.00027213152667226884
3,2,54,1,30,-0.12743396759033204,0.11170083284378052,0.018675011396408082,-1.0287102584494696,-0.03121179426288944,-0.04684198498875634,0.0008104278272551912,0.0003124650774629898,0.000190543978977461,0.0008900225991230395,0.0015505497776959103,0.0023102814215454092
3,3,53,1,15,-0.10246607065200805,0.07808058261871338,0.020108723640441896,-0.6043750351886132,-0.043162011647072625,-0.059442236543216564,0.00010038268236698585,0.0001733912799508456,3.4635809297419725e-05,0.00016497707496581504,0.00014179232522257634,0.00016298974433241994
3,4,1,1,0,-0.03359047770500183,0.04147064685821533,0.019959157705307005,-0.055500378706435746,-0.027350798788482185,-0.07485157721742397,5.877963382023571e-05,0.00013076229933005717,1.773402863556999e-05,0.00037414113333091644,0.0002087384445026181,0.0002859657250539517
3,5,45,1,-30,0.058234667778015135,0.0312617301940918,0.017147928476333618,0.44961937767997495,-0.0060389992435606315,-0.06505547650267626,0.0005679304168215022,0.0003509241031695881,9.188046712125187e-05,0.00039997437796733835,0.0002263422364103714,0.00025395367880958614
3,6,79,1,0,-0.028609341382980345,0.037617027759552,0.018190807104110716,-0.06726904572790351,-0.0072524692248710585,-0.08537057180552615,0.00023157863566373085,0.00031472314582768244,6.407953096555804e-05,0.000866564877626637,0.0004967506793188695,0.0005546679794448929
3,7,61,1,-20,-0.02242305874824524,0.022217321395874023,0.01601601243019104,-0.029731172219006886,-0.011965342410223415,-0.07297132206844774,0.0005851542771856952,0.00029626690810678405,3.877161373776282e-05,0.0001884387449890833,0.0005123041232672733,0.00048539912822251677
3,8,32,1,-20,0.03876253962516785,0.03002614974975586,0.008921003341674805,0.28387289428942974,-0.000499206159989422,-0.07673426826914055,0.0002421125897965142,3.3326713217738746e-05,7.496061365348629e-05,0.00023279953365850495,0.00018508408254921791,0.0008473137915383825
3,9,69,1,-30,0.06998594403266907,0.05714619159698486,0.009145712852478028,0.4392469570005363,0.008321281086864344,-0.08945633008514907,0.00018695029101806844,0.0003597612446786608,3.2983739118363877e-05,0.0003555143166228638,0.0009182077967218111,0.00032563895951125
3,10,44,1,15,-0.10296747088432312,0.0654110312461853,0.011035299301147461,-0.7665871649608511,-0.012105546238687554,-0.07165157929614259,2.4810192641101155e-05,0.00012830363809632355,4.938193703987171e-05,0.00010013937303051865,0.00021099666955584178,0.0001530507254856354
3,11,48,1,-20,-0.025768065452575685,0.038944590091705325,0.010844016075134277,-0.20452142915808555,-0.008766125083285472,-0.08956339062534595,0.00014397898962970147,0.0001707189110221028,8.771597089782142e-05,0.00025597457852477974,0.0002692457662192767,0.0006032171637748107
3,12,64,1,25,-0.1285785585641861,0.09641880989074707,0.007257193326950073,-1.0413829166036614,-0.004726606791774191,-0.077477479625673,0.00026197272445952397,0.0003239016922705955,0.00013323735238999584,0.0005006726543944063,0.0004049249615446867,0.001369183022445724
3,13,35,1,-20,0.04963722825050354,0.031146931648254394,0.006963014602661133,0.29258843289424874,-0.0025952085473003633,-0.08215652137592182,0.00010416544368394136,0.00029421037753742465,0.00012274923296203363,0.00020031285098070267,0.0004273228722989563,0.0014380599969204275
3,14,29,1,-5,0.013263028860092164,0.01753581762313843,0.011747056245803833,0.05592700180172092,-0.004895733770581919,-0.062048609505327056,0.00010419707875330987,0.0004027158258243196,8.530386555447117e-05,0.0006240275205728862,0.0006833193832396086,0.0006859976816569845
3,15,9,1,25,-0.08788764774799347,0.06253266334533691,0.011171436309814453,-0.5914988069127333,-0.015015119205496644,-0.059518648596875647,0.0001946213880728796,0.00019667979381372637,5.100802521264984e-05,0.0006632078386880112,0.00034429555687102607,0.000985370804364507
