# Data file generated by gp_save_table.m
# pairwise differences of ratings vs Ref
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.979424	0.806584	1.000000	0.862140	1.000000	0.000002	1.000000	0.000001	0.958848	0.510288	0.697531	1.000000	1.000000	1.000000	0.991770	1.000000	1.000000	1.000000	0.989712	0.973251	0.981481	0.862140	0.724280	0.897119	1.000000	0.751029	0.738683	0.977366	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	0.039095	-0.004115	0.346708	0.000000	0.333333	0.026642	0.989258	0.013321	-0.008230	-0.432099	0.333333	0.022634	0.000000	0.000000	0.047325	0.419753	0.360082	0.434156	0.248971	0.030864	0.271605	0.411523	-0.094650	0.100823	0.012346	-0.057613	0.567901	-0.008230	
"NFC-HOA 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_nfchoa_corrected.wav	0.000000	-0.016461	0.014403	-0.014403	0.012346	0.869488	0.434744	0.593822	0.006173	-0.041152	0.012346	0.000000	0.000000	0.000000	0.008230	0.000000	0.016461	0.030864	-0.010288	-0.014403	-0.018519	-0.006173	-0.043210	0.047325	0.047325	-0.216049	-0.084362	0.024691	
"Stereo"	brs/brs_posx0.00_posy0.00_stereo_corrected.wav	0.057613	0.000000	0.106996	0.000000	0.082305	0.048441	0.980005	0.024220	-0.008230	-0.475309	0.076132	0.053498	0.000000	0.000000	0.069959	0.195473	0.082305	0.072016	0.061728	0.646091	0.024691	0.131687	-0.166667	0.030864	0.012346	0.411523	-0.127572	0.187243	
"LWFS-SBL 1024 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	0.000000	-0.012346	0.017490	-0.010288	0.012346	0.756166	0.378083	0.635747	-0.002058	-0.117284	0.045267	0.000000	0.000000	0.000000	0.012346	0.022634	0.000000	0.000000	-0.010288	-0.014403	0.010288	0.032922	-0.248971	0.032922	0.041152	-0.106996	-0.129630	-0.004115	
"LWFS-SBL 512 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	0.007202	-0.004115	0.039095	0.000000	0.037037	0.132727	0.943007	0.066363	0.004115	-0.197531	0.010288	0.000000	0.000000	0.000000	-0.008230	0.024691	0.034979	0.000000	-0.010288	0.012346	0.055556	0.041152	-0.216049	0.037037	0.300412	0.080247	0.265432	-0.014403	
"LWFS-SBL 256 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	0.001029	-0.009259	0.016461	-0.008230	0.008230	0.570597	0.727062	0.285298	0.000000	-0.374486	0.002058	0.000000	0.000000	0.000000	0.002058	0.024691	0.041152	0.008230	-0.010288	0.008230	0.008230	0.213992	-0.113169	0.088477	0.286008	-0.166667	-0.028807	-0.008230	
"LWFS-SBL 128 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	0.039095	0.000000	0.103909	0.000000	0.102881	0.008308	0.996352	0.004154	0.000000	-0.261317	0.119342	0.000000	0.000000	0.032922	0.063786	0.300412	0.259259	0.074074	0.020576	0.024691	0.045267	-0.004115	-0.061728	0.055556	0.006173	0.339506	0.104938	0.102881	
"LWFS-SBL 64 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.352881	0.106996	0.511317	0.127572	0.465021	0.000027	0.999993	0.000013	0.000000	-0.020576	0.613169	0.127572	0.086420	0.298354	0.067901	0.613169	0.465021	0.265432	0.310700	0.617284	0.395062	0.419753	0.170782	0.411523	1.000000	0.557613	0.425926	-0.008230	
