# Data file generated by gp_save_table.m
# pairwise differences of ratings vs Ref
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.982510	0.935185	1.000000	0.936214	1.000000	0.000002	1.000000	0.000001	0.895062	0.991770	0.936214	1.000000	0.983539	0.993827	1.000000	1.000000	1.000000	1.000000	0.983539	0.934156	0.932099	0.981481	0.938272	0.703704	1.000000	0.969136	0.965021	0.814815	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.565844	0.306584	0.769547	0.310700	0.755144	0.000002	1.000000	0.000001	0.053498	0.855967	0.528807	0.310700	0.302469	0.372428	0.500000	0.755144	0.668724	0.650206	0.510288	0.948560	0.707819	0.236626	0.602881	0.150206	0.783951	0.804527	0.851852	0.135802	
"NFC-HOA 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_corrected.wav	0.138889	0.065844	0.242798	0.067901	0.236626	0.000322	0.999869	0.000161	0.006173	0.236626	0.248971	0.067901	0.115226	0.096708	0.170782	0.063786	0.197531	0.106996	0.014403	0.462963	0.162551	0.205761	0.489712	-0.131687	0.697531	0.434156	0.080247	-0.094650	
"Stereo"	brs/brs_posx-0.50_posy0.75_stereo_corrected.wav	0.501029	0.314815	0.729424	0.320988	0.726337	0.000002	1.000000	0.000001	0.074074	0.676955	0.473251	0.767490	0.203704	0.203704	0.213992	0.487654	0.557613	0.308642	0.343621	0.438272	0.606996	0.925926	0.919753	0.514403	0.944444	0.726337	0.732510	0.320988	
"LWFS-SBL 1024 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	0.190329	0.090535	0.399177	0.096708	0.393004	0.000036	0.999987	0.000018	0.002058	0.393004	0.318930	0.123457	0.002058	0.493827	0.096708	0.185185	0.195473	0.405350	0.084362	0.644033	0.432099	0.148148	0.358025	-0.049383	0.748971	0.288066	0.141975	-0.004115	
"LWFS-SBL 512 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	0.232510	0.140947	0.405350	0.154321	0.397119	0.000063	0.999982	0.000031	0.000000	0.473251	0.318930	0.127572	0.154321	0.376543	0.156379	0.187243	0.199588	0.413580	0.020576	0.514403	0.432099	0.053498	0.347737	0.164609	0.767490	0.397119	0.265432	-0.174897	
"LWFS-SBL 256 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	0.172840	0.049383	0.374486	0.053498	0.331276	0.000210	0.999933	0.000105	0.004115	0.559671	0.331276	0.045267	0.000000	0.263374	0.115226	0.183128	0.090535	0.417695	0.150206	0.236626	0.162551	0.053498	0.292181	-0.090535	0.590535	0.582305	0.584362	-0.146091	
"LWFS-SBL 128 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	0.379630	0.130658	0.436214	0.179012	0.432099	0.000019	0.999993	0.000010	0.006173	0.837449	0.384774	0.193416	0.026749	0.374486	0.032922	0.853909	0.417695	0.189300	0.179012	0.440329	0.432099	0.082305	0.399177	-0.094650	0.769547	0.506173	0.403292	0.277778	
"LWFS-SBL 64 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.501029	0.306584	0.767490	0.306584	0.755144	0.000002	1.000000	0.000001	0.016461	0.806584	0.144033	0.417695	0.483539	0.553498	0.736626	0.783951	0.755144	0.641975	0.502058	0.419753	0.306584	0.205761	0.779835	0.306584	0.960905	0.874486	0.500000	0.261317	
