# Data file generated by gp_save_table.m
# pairwise differences of ratings vs Ref
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.961934	0.856996	0.998971	0.862140	0.997942	0.000002	1.000000	0.000001	0.693416	0.991770	0.962963	1.000000	1.000000	0.997942	1.000000	1.000000	0.985597	1.000000	0.862140	0.995885	0.942387	0.835391	0.851852	0.590535	0.345679	0.905350	0.901235	0.960905	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	0.576132	0.348765	0.769547	0.417695	0.761317	0.000002	1.000000	0.000001	0.022634	0.847737	0.777778	0.469136	0.561728	0.240741	0.590535	0.897119	0.804527	0.417695	0.279835	0.997942	0.442387	0.590535	0.761317	0.199588	0.069959	0.664609	0.594650	0.543210	
"NFC-HOA 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_nfchoa_corrected.wav	0.000000	-0.041152	0.026749	0.000000	0.018519	0.756166	0.649409	0.378083	0.004115	0.226337	0.006173	0.000000	0.000000	0.000000	0.018519	0.000000	0.000000	0.000000	-0.082305	0.037037	0.016461	-0.152263	-0.129630	0.034979	-0.139918	-0.094650	0.067901	0.074074	
"Stereo"	brs/brs_posx0.00_posy0.00_stereo_corrected.wav	0.301440	0.183128	0.511317	0.197531	0.485597	0.000002	1.000000	0.000001	0.018519	0.790123	0.115226	0.269547	0.329218	0.168724	0.323045	0.561728	0.485597	0.537037	0.277778	0.792181	0.286008	0.057613	0.316872	0.069959	0.197531	0.458848	0.629630	0.201646	
"LWFS-SBL 1024 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	0.001029	-0.003086	0.039095	-0.002058	0.032922	0.348810	0.844103	0.174405	0.032922	0.032922	0.045267	0.000000	0.000000	0.000000	0.158436	0.000000	-0.002058	0.002058	-0.032922	0.022634	0.051440	-0.076132	-0.139918	0.026749	0.067901	0.156379	-0.063786	-0.004115	
"LWFS-SBL 512 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	0.000000	-0.032922	0.018519	-0.016461	0.016461	0.756166	0.378083	0.649409	-0.004115	0.020576	0.006173	0.000000	0.000000	0.000000	0.016461	0.000000	-0.014403	0.041152	-0.119342	0.047325	-0.012346	-0.104938	-0.098765	-0.016461	-0.090535	-0.049383	0.213992	0.211934	
"LWFS-SBL 256 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	0.005144	-0.026749	0.050412	0.000000	0.037037	0.230513	0.891916	0.115256	0.004115	0.022634	0.409465	0.000000	0.000000	0.000000	0.008230	0.034979	0.063786	0.121399	-0.076132	0.006173	-0.057613	0.074074	-0.053498	0.002058	-0.092593	0.240741	-0.053498	0.037037	
"LWFS-SBL 128 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	0.383745	0.149177	0.523663	0.150206	0.520576	0.000013	0.999995	0.000007	0.022634	0.641975	0.518519	0.576132	0.150206	0.269547	0.444444	0.646091	0.656379	0.269547	0.444444	0.520576	0.288066	0.148148	0.401235	0.131687	-0.100823	0.526749	0.366255	-0.018519	
"LWFS-SBL 64 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.717078	0.457819	0.811728	0.500000	0.806584	0.000004	0.999999	0.000002	0.094650	0.954733	0.890947	0.650206	0.703704	0.500000	0.771605	0.893004	0.806584	0.572016	0.415638	0.993827	0.738683	0.722222	0.816872	0.308642	0.304527	0.759259	0.711934	-0.022634	
