# Data file generated by gp_save.m
# 
0	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
0.1	Inf	Inf	53948	46290	38112	35965	26854	19588	17930	5934
0.2	Inf	56040	53948	46290	37963	35965	26772	19537	17877	5875
0.3	62991	56040	53948	46147	37963	35814	26731	19487	17825	5817.3
0.4	62991	55747	53948	46147	37963	35814	26649	19386	17773	5749.6
0.5	62991	55747	53653	46004	37814	35664	26568	19337	17669	5694.5
0.6	62991	55747	53653	46004	37814	35664	26528	19287	17618	5629.8
0.7	62703	55747	53653	45863	37667	35664	26448	19189	17567	5566.7
0.8	62703	55456	53653	45863	37667	35515	26368	19140	17517	5505.1
0.9	62703	55456	53653	45863	37521	35515	26289	19092	17416	5444.9
1	62703	55456	53361	45723	37521	35367	26249	18995	17367	5386.1
1.1	62703	55456	53361	45723	37521	35367	26171	18948	17317	5328.7
1.2	62419	55456	53361	45583	37376	35220	26093	18900	17219	5263.3
1.3	62419	55169	53361	45583	37376	35220	26015	18806	17171	5208.6
1.4	62419	55169	53072	45444	37233	35075	25977	18759	17122	5146.4
1.5	62419	55169	53072	45444	37233	35075	25900	18666	17027	5085.8
1.6	62136	55169	53072	45306	37090	35075	25823	18620	16979	5026.7
1.7	62136	54884	53072	45306	37090	34931	25748	18574	16932	4960.9
1.8	62136	54884	53072	45169	36949	34931	25672	18483	16838	4904.9
1.9	62136	54884	52787	45169	36949	34788	25634	18438	16792	4842.6
2	61857	54884	52787	45033	36808	34788	25560	18348	16746	4782
2.1	61857	54884	52787	45033	36808	34646	25485	18304	16654	4723
2.2	61857	54603	52787	45033	36808	34646	25411	18215	16608	4665.6
2.3	61857	54603	52504	44898	36669	34506	25338	18171	16518	4609.7
2.4	61857	54603	52504	44898	36669	34506	25265	18084	16474	4548.6
2.5	61580	54603	52504	44764	36531	34366	25192	18041	16385	4489.3
2.6	61580	54324	52504	44764	36531	34366	25120	17955	16341	4431.7
2.7	61580	54324	52225	44630	36394	34366	25048	17913	16254	4375.7
2.8	61580	54324	52225	44630	36394	34228	24977	17828	16210	4315.3
2.9	61305	54324	52225	44497	36258	34228	24942	17744	16125	4256.8
3	61305	54048	52225	44497	36258	34091	24871	17703	16082	4200
3.1	61305	54048	52225	44366	36123	34091	24801	17620	15997	4145
3.2	61305	54048	51948	44366	36123	33955	24731	17579	15955	4086.2
3.3	61034	54048	51948	44234	35989	33955	24661	17498	15872	4034.5
3.4	61034	53775	51948	44234	35989	33820	24592	17417	15831	3974.4
3.5	61034	53775	51948	44104	35856	33820	24523	17377	15749	3921
3.6	61034	53775	51675	44104	35856	33686	24421	17297	15708	3864.7
3.7	61034	53775	51675	43975	35724	33686	24353	17218	15628	3810.2
3.8	60764	53775	51675	43975	35724	33553	24286	17179	15548	3753.1
3.9	60764	53505	51675	43846	35593	33553	24219	17101	15508	3702.2
4	60764	53505	51404	43846	35593	33421	24152	17024	15430	3648.9
4.1	60764	53505	51404	43718	35462	33421	24086	16986	15391	3593.4
4.2	60497	53505	51404	43718	35462	33290	24020	16910	15313	3539.9
4.3	60497	53238	51404	43591	35333	33290	23955	16835	15237	3488.3
4.4	60497	53238	51136	43591	35333	33160	23890	16760	15199	3435
