# Data file generated by gp_save.m
# 
0	0.075346	0.025664	0.025718	0.025711	0.025731	0.025714	0.025709	0.025708	0.02571
10.767	0.063376	0.025064	0.025239	0.025255	0.025268	0.025266	0.025267	0.025269	0.02527
21.533	0.038013	0.030072	0.030222	0.030245	0.03025	0.030255	0.030259	0.030262	0.030262
32.3	0.090439	0.029881	0.030112	0.030143	0.030156	0.030158	0.030166	0.03017	0.030169
43.066	0.32545	0.26824	0.26957	0.26975	0.26982	0.26983	0.26986	0.26989	0.26989
53.833	0.69799	0.67793	0.68066	0.68103	0.68118	0.6812	0.68126	0.68131	0.68131
64.6	0.98766	0.93314	0.93602	0.93641	0.93656	0.93659	0.93665	0.9367	0.93671
75.366	0.95922	0.9431	0.945	0.94527	0.94536	0.94539	0.94542	0.94545	0.94546
86.133	0.79256	1.0374	1.0388	1.039	1.0391	1.0391	1.0392	1.0392	1.0392
96.899	1	1	1	1	1	1	1	1	1
107.67	1.1225	0.96747	0.96579	0.96558	0.96548	0.96548	0.96542	0.9654	0.9654
118.43	0.89225	1.0928	1.0901	1.0898	1.0896	1.0896	1.0896	1.0895	1.0895
129.2	0.89924	1.0719	1.0674	1.0668	1.0665	1.0665	1.0664	1.0663	1.0663
139.97	1.001	1.1722	1.1665	1.1657	1.1654	1.1654	1.1653	1.1652	1.1652
150.73	0.89048	1.2075	1.1997	1.1987	1.1983	1.1982	1.1981	1.1979	1.1979
161.5	1.0097	1.2413	1.2315	1.2302	1.2297	1.2296	1.2294	1.2293	1.2292
172.27	1.1433	1.279	1.2675	1.266	1.2654	1.2653	1.2651	1.2649	1.2649
183.03	1.0998	1.2653	1.2514	1.2495	1.2488	1.2486	1.2484	1.2482	1.2482
193.8	1.1244	1.163	1.1474	1.1454	1.1446	1.1444	1.1441	1.1439	1.1438
204.57	1.2245	1.0973	1.0795	1.0772	1.0763	1.0761	1.0758	1.0755	1.0755
215.33	1.1789	1.0614	1.0419	1.0394	1.0384	1.0382	1.0377	1.0374	1.0374
226.1	1.1186	1.0385	1.0172	1.0145	1.0134	1.0132	1.0128	1.0124	1.0124
236.87	1.1685	1.1218	1.0978	1.0948	1.0935	1.0933	1.0928	1.0924	1.0924
247.63	1.1371	1.192	1.1654	1.1621	1.1607	1.1605	1.1599	1.1595	1.1595
258.4	1.031	1.2681	1.2382	1.2344	1.2329	1.2326	1.232	1.2316	1.2315
269.17	1.1126	1.3085	1.275	1.2707	1.2691	1.2687	1.2681	1.2676	1.2676
279.93	1.1812	1.3051	1.2686	1.264	1.2622	1.2618	1.2611	1.2606	1.2606
290.7	1.1876	1.2754	1.2365	1.2315	1.2297	1.2292	1.2285	1.228	1.2279
301.46	1.2165	1.2513	1.2098	1.2046	1.2026	1.2022	1.2014	1.2008	1.2007
312.23	1.2417	1.2029	1.1592	1.1538	1.1517	1.1513	1.1505	1.1499	1.1498
323	1.2842	1.2111	1.1646	1.1589	1.1567	1.1562	1.1553	1.1547	1.1546
333.76	1.2433	1.2592	1.2089	1.2028	1.2004	1.2	1.199	1.1983	1.1982
344.53	1.2543	1.3285	1.2742	1.2677	1.2652	1.2646	1.2636	1.2629	1.2628
355.3	1.3184	1.3914	1.3327	1.3257	1.323	1.3224	1.3213	1.3205	1.3205
366.06	1.3547	1.4112	1.3487	1.3412	1.3384	1.3377	1.3366	1.3358	1.3357
376.83	1.4194	1.337	1.2732	1.2656	1.2628	1.2621	1.261	1.2602	1.2601
387.6	1.4882	1.2393	1.1767	1.1693	1.1666	1.166	1.1648	1.164	1.164
398.36	1.5558	1.2023	1.1396	1.1323	1.1295	1.129	1.1278	1.127	1.127
409.13	1.6585	1.2894	1.2216	1.2138	1.2108	1.2102	1.209	1.2081	1.2081
419.9	1.6229	1.4021	1.3257	1.317	1.3137	1.313	1.3116	1.3107	1.3106
430.66	1.5679	1.4866	1.4017	1.392	1.3884	1.3876	1.3862	1.3851	1.385
441.43	1.5454	1.5187	1.4278	1.4176	1.4138	1.4129	1.4114	1.4103	1.4102
452.2	1.5489	1.5053	1.4113	1.4009	1.3969	1.3961	1.3945	1.3934	1.3933
462.96	1.599	1.4765	1.3807	1.3703	1.3663	1.3655	1.3639	1.3628	1.3627
473.73	1.5349	1.4651	1.3692	1.3589	1.3549	1.3541	1.3525	1.3514	1.3513
484.5	1.5655	1.45	1.3544	1.3441	1.3402	1.3395	1.3378	1.3368	1.3367
495.26	1.633	1.4656	1.3675	1.357	1.3531	1.3523	1.3506	1.3495	1.3494
506.03	1.6645	1.5483	1.4421	1.4309	1.4266	1.4258	1.424	1.4229	1.4228
516.8	1.7577	1.6449	1.53	1.5179	1.5133	1.5124	1.5105	1.5093	1.5091
527.56	1.8196	1.6635	1.5438	1.5313	1.5266	1.5256	1.5237	1.5224	1.5223
538.33	1.8437	1.6698	1.5473	1.5346	1.5299	1.5289	1.5269	1.5257	1.5255
549.1	1.8463	1.71	1.5817	1.5687	1.5638	1.5628	1.5607	1.5594	1.5593
559.86	1.8323	1.7052	1.5756	1.5626	1.5577	1.5567	1.5546	1.5533	1.5532
570.63	1.78	1.6755	1.5468	1.534	1.5292	1.5282	1.5261	1.5249	1.5248
