# Data file generated by gp_save.m
# 
156.12	-0.28611	0.5084	-0.0041002	1.5233	-0.29173	-1.0655	-0.29173	-1.0655	-0.29173	-1.0655	-0.29004	-1.0638	-0.26181	-1.4056	-0.47726	-2.7544
161.5	-0.28415	0.49839	-0.0039495	1.5392	-0.28792	-1.0826	-0.28792	-1.0826	-0.28792	-1.0826	-0.28817	-1.0828	-0.28876	-1.4281	-0.4915	-2.7647
166.88	-0.28313	0.49303	-0.0037802	1.5539	-0.28509	-1.0942	-0.28509	-1.0942	-0.28509	-1.0942	-0.28723	-1.0964	-0.31624	-1.451	-0.50578	-2.7749
172.27	-0.28308	0.4923	-0.0035917	1.5673	-0.28326	-1.1004	-0.28326	-1.1004	-0.28326	-1.1004	-0.28724	-1.1044	-0.3442	-1.4742	-0.52008	-2.785
177.65	-0.28399	0.4961	-0.0033843	1.5796	-0.28243	-1.1011	-0.28243	-1.1011	-0.28243	-1.1011	-0.28821	-1.1069	-0.3726	-1.4977	-0.53434	-2.7949
183.03	-0.28587	0.50426	-0.0031589	1.5907	-0.2826	-1.0967	-0.2826	-1.0967	-0.2826	-1.0967	-0.29013	-1.1042	-0.40142	-1.5215	-0.54854	-2.8046
188.42	-0.2887	0.51653	-0.0029168	1.6007	-0.28377	-1.0873	-0.28377	-1.0873	-0.28377	-1.0873	-0.29298	-1.0965	-0.4306	-1.5455	-0.56264	-2.8142
193.8	-0.29246	0.53261	-0.00266	1.6097	-0.28591	-1.0734	-0.28591	-1.0734	-0.28591	-1.0734	-0.29674	-1.0842	-0.46012	-1.5697	-0.5766	-2.8234
199.18	-0.2971	0.55216	-0.0023909	1.6178	-0.28898	-1.0552	-0.28898	-1.0552	-0.28898	-1.0552	-0.30138	-1.0676	-0.48993	-1.594	-0.59038	-2.8324
204.57	-0.30258	0.57478	-0.002112	1.6251	-0.29295	-1.0334	-0.29295	-1.0334	-0.29295	-1.0334	-0.30684	-1.0473	-0.52	-1.6185	-0.60395	-2.8411
209.95	-0.30885	0.60005	-0.0018261	1.6316	-0.29777	-1.0084	-0.29777	-1.0084	-0.29777	-1.0084	-0.31308	-1.0237	-0.55028	-1.643	-0.61728	-2.8494
215.33	-0.31583	0.62754	-0.0015358	1.6375	-0.30335	-0.98071	-0.30335	-0.98071	-0.30335	-0.98072	-0.32001	-0.99737	-0.58074	-1.6675	-0.63032	-2.8572
220.72	-0.32346	0.65678	-0.0012438	1.6428	-0.30964	-0.9509	-0.30964	-0.9509	-0.30964	-0.9509	-0.32757	-0.96884	-0.61133	-1.6921	-0.64304	-2.8647
226.1	-0.33163	0.68735	-0.00095257	1.6477	-0.31654	-0.9195	-0.31654	-0.9195	-0.31654	-0.9195	-0.33567	-0.93864	-0.64202	-1.7166	-0.65541	-2.8717
231.48	-0.34027	0.7188	-0.00066427	1.6521	-0.32397	-0.88704	-0.32397	-0.88704	-0.32397	-0.88704	-0.34422	-0.90729	-0.67276	-1.741	-0.6674	-2.8782
236.87	-0.34926	0.75073	-0.00038087	1.6562	-0.33181	-0.854	-0.33181	-0.854	-0.33181	-0.854	-0.3531	-0.87529	-0.70351	-1.7653	-0.67897	-2.8842
242.25	-0.35849	0.78276	-0.00010404	1.6601	-0.33996	-0.82085	-0.33996	-0.82085	-0.33996	-0.82085	-0.36221	-0.8431	-0.73424	-1.7894	-0.69009	-2.8896
247.63	-0.36784	0.81454	0.0001648	1.6638	-0.3483	-0.788	-0.3483	-0.788	-0.3483	-0.78799	-0.37143	-0.81113	-0.76491	-1.8133	-0.70074	-2.8945
253.02	-0.3772	0.84578	0.00042453	1.6674	-0.35671	-0.7558	-0.35671	-0.7558	-0.35671	-0.7558	-0.38064	-0.77973	-0.79546	-1.837	-0.71088	-2.8987
258.4	-0.38643	0.8762	0.0006742	1.671	-0.36506	-0.72458	-0.36506	-0.72458	-0.36506	-0.72458	-0.38971	-0.74923	-0.82588	-1.8604	-0.72048	-2.9023
263.78	-0.3954	0.90561	0.000913	1.6745	-0.37322	-0.69457	-0.37322	-0.69457	-0.37322	-0.69457	-0.3985	-0.71985	-0.85611	-1.8834	-0.72953	-2.9052
269.17	-0.40398	0.93384	0.0011402	1.6781	-0.38106	-0.66597	-0.38106	-0.66597	-0.38106	-0.66597	-0.4069	-0.69181	-0.88612	-1.9061	-0.73798	-2.9075
274.55	-0.41203	0.96078	0.0013552	1.6817	-0.38844	-0.63891	-0.38844	-0.63891	-0.38844	-0.63891	-0.41476	-0.66522	-0.91587	-1.9284	-0.74584	-2.9091
279.93	-0.41943	0.98634	0.0015574	1.6854	-0.39524	-0.61346	-0.39524	-0.61346	-0.39524	-0.61346	-0.42194	-0.64017	-0.94532	-1.9503	-0.75306	-2.9099
285.31	-0.42605	1.0105	0.001746	1.6892	-0.40131	-0.58965	-0.40131	-0.58965	-0.40131	-0.58966	-0.42834	-0.61668	-0.97443	-1.9717	-0.75963	-2.91
290.7	-0.43175	1.0333	0.0019203	1.693	-0.40655	-0.56746	-0.40655	-0.56746	-0.40655	-0.56746	-0.43381	-0.59472	-1.0032	-1.9926	-0.76553	-2.9093
296.08	-0.43642	1.0548	0.0020798	1.6969	-0.41082	-0.54679	-0.41082	-0.54679	-0.41082	-0.54679	-0.43824	-0.57422	-1.0315	-2.013	-0.77074	-2.9079
301.46	-0.43995	1.075	0.0022239	1.7009	-0.41401	-0.52756	-0.41401	-0.52756	-0.41401	-0.52756	-0.44152	-0.55506	-1.0594	-2.0328	-0.77525	-2.9056
306.85	-0.44224	1.0942	0.0023518	1.705	-0.41603	-0.5096	-0.41603	-0.5096	-0.41603	-0.5096	-0.44355	-0.53712	-1.0868	-2.052	-0.77905	-2.9026
312.23	-0.44319	1.1123	0.0024632	1.7091	-0.41677	-0.49276	-0.41677	-0.49275	-0.41677	-0.49276	-0.44423	-0.52021	-1.1137	-2.0705	-0.78212	-2.8988
317.61	-0.44272	1.1296	0.0025576	1.7132	-0.41616	-0.47683	-0.41616	-0.47683	-0.41616	-0.47683	-0.44349	-0.50416	-1.1401	-2.0884	-0.78446	-2.8941
323	-0.44076	1.1462	0.0026347	1.7173	-0.41413	-0.46164	-0.41413	-0.46164	-0.41413	-0.46164	-0.44125	-0.48876	-1.1659	-2.1056	-0.78605	-2.8886
328.38	-0.43727	1.1623	0.0026943	1.7214	-0.41062	-0.44697	-0.41062	-0.44697	-0.41062	-0.44697	-0.43747	-0.47382	-1.1911	-2.1221	-0.7869	-2.8823
333.76	-0.4322	1.178	0.0027363	1.7254	-0.40559	-0.43262	-0.40559	-0.43262	-0.40559	-0.43262	-0.43211	-0.45914	-1.2157	-2.1378	-0.78699	-2.8752
339.15	-0.42552	1.1935	0.0027604	1.7293	-0.39902	-0.41842	-0.39902	-0.41842	-0.39902	-0.41842	-0.42514	-0.44454	-1.2396	-2.1527	-0.78632	-2.8673
344.53	-0.41723	1.2089	0.0027669	1.7331	-0.39089	-0.40419	-0.39089	-0.40419	-0.39089	-0.40419	-0.41655	-0.42984	-1.2629	-2.1668	-0.7849	-2.8585
349.91	-0.40734	1.2244	0.0027559	1.7368	-0.38122	-0.38978	-0.38122	-0.38978	-0.38122	-0.38978	-0.40635	-0.41491	-1.2854	-2.1801	-0.78273	-2.8489
355.3	-0.39587	1.24	0.0027278	1.7403	-0.37002	-0.37508	-0.37002	-0.37508	-0.37002	-0.37508	-0.39458	-0.39963	-1.3072	-2.1926	-0.77981	-2.8385
360.68	-0.38285	1.2558	0.0026833	1.7436	-0.35734	-0.35999	-0.35734	-0.35999	-0.35734	-0.35999	-0.38126	-0.38391	-1.3282	-2.2041	-0.77615	-2.8273
366.06	-0.36835	1.2719	0.0026235	1.7467	-0.34321	-0.34445	-0.34321	-0.34445	-0.34321	-0.34445	-0.36645	-0.36769	-1.3485	-2.2148	-0.77175	-2.8153
371.45	-0.35242	1.2883	0.0025501	1.7496	-0.32772	-0.32845	-0.32772	-0.32845	-0.32772	-0.32845	-0.35022	-0.35095	-1.368	-2.2246	-0.76662	-2.8026
376.83	-0.33516	1.305	0.0024652	1.7523	-0.31094	-0.31198	-0.31094	-0.31198	-0.31094	-0.31198	-0.33266	-0.33369	-1.3867	-2.2335	-0.76078	-2.7891
382.21	-0.31665	1.3219	0.0023715	1.7548	-0.29296	-0.29509	-0.29296	-0.29508	-0.29296	-0.29509	-0.31385	-0.31597	-1.4046	-2.2414	-0.75424	-2.7748
387.6	-0.297	1.3391	0.0022723	1.757	-0.27388	-0.27783	-0.27388	-0.27783	-0.27388	-0.27783	-0.2939	-0.29785	-1.4216	-2.2484	-0.74701	-2.7598
392.98	-0.27632	1.3564	0.0021715	1.759	-0.25382	-0.26031	-0.25382	-0.26031	-0.25382	-0.26031	-0.27292	-0.27941	-1.4378	-2.2544	-0.73911	-2.744
398.36	-0.25474	1.3738	0.0020734	1.7607	-0.23289	-0.24263	-0.23289	-0.24263	-0.23289	-0.24263	-0.25104	-0.26078	-1.4531	-2.2594	-0.73056	-2.7276
403.75	-0.23237	1.3911	0.0019824	1.7621	-0.21123	-0.22492	-0.21123	-0.22492	-0.21122	-0.22492	-0.22839	-0.24209	-1.4675	-2.2635	-0.72138	-2.7106
409.13	-0.20936	1.4083	0.0019035	1.7634	-0.18895	-0.20732	-0.18895	-0.20732	-0.18895	-0.20732	-0.2051	-0.22347	-1.4811	-2.2666	-0.71159	-2.6928
414.51	-0.18585	1.4252	0.0018412	1.7644	-0.16621	-0.18997	-0.16621	-0.18997	-0.16621	-0.18997	-0.18131	-0.20507	-1.4938	-2.2687	-0.70121	-2.6745
419.9	-0.16196	1.4418	0.0017999	1.7652	-0.14313	-0.17301	-0.14313	-0.17302	-0.14313	-0.17302	-0.15716	-0.18704	-1.5056	-2.2698	-0.69027	-2.6556
425.28	-0.13785	1.4578	0.0017836	1.7659	-0.11986	-0.15659	-0.11986	-0.15659	-0.11986	-0.15659	-0.13279	-0.16952	-1.5165	-2.2699	-0.6788	-2.6361
430.66	-0.11364	1.4733	0.0017953	1.7663	-0.096525	-0.14083	-0.096525	-0.14083	-0.096525	-0.14083	-0.10833	-0.15264	-1.5265	-2.269	-0.66681	-2.6161
436.05	-0.089483	1.4882	0.0018377	1.7666	-0.073267	-0.12585	-0.073267	-0.12586	-0.073267	-0.12585	-0.083938	-0.13653	-1.5356	-2.2671	-0.65434	-2.5956
441.43	-0.065506	1.5022	0.0019121	1.7668	-0.050217	-0.11176	-0.050217	-0.11176	-0.050217	-0.11176	-0.059732	-0.12127	-1.5439	-2.2643	-0.64142	-2.5747
446.81	-0.041838	1.5155	0.002019	1.7669	-0.027502	-0.098624	-0.027502	-0.098625	-0.027501	-0.098624	-0.035848	-0.10697	-1.5513	-2.2605	-0.62808	-2.5533
452.2	-0.018606	1.5278	0.002158	1.7668	-0.0052431	-0.086516	-0.0052431	-0.086516	-0.0052429	-0.086515	-0.01241	-0.093683	-1.5577	-2.2557	-0.61434	-2.5315
457.58	0.0040749	1.5393	0.0023275	1.7667	0.016443	-0.075472	0.016443	-0.075471	0.016443	-0.075471	0.010463	-0.08145	-1.5633	-2.2499	-0.60025	-2.5093
462.96	0.026092	1.5498	0.0025252	1.7666	0.037446	-0.06551	0.037446	-0.065509	0.037446	-0.06551	0.03266	-0.070295	-1.5681	-2.2432	-0.58583	-2.4869
468.35	0.047342	1.5594	0.0027482	1.7664	0.057667	-0.056626	0.057667	-0.056624	0.057666	-0.056625	0.054076	-0.060215	-1.572	-2.2356	-0.57112	-2.4641
