# Data file generated by gp_save.m
# 
818.26	0.96123	0.90513	0.96132	0.90518	0.96134	0.90517	0.9592	0.90324	0.9592	0.90324	0.95853	0.90296	0.95831	0.90261
839.79	0.9675	0.9082	0.96759	0.90825	0.9676	0.90824	0.96548	0.90632	0.96548	0.90632	0.96476	0.90603	0.96453	0.90566
861.33	0.97294	0.91041	0.97303	0.91046	0.97304	0.91044	0.97094	0.90855	0.97094	0.90856	0.97018	0.90825	0.96994	0.90786
882.86	0.97748	0.9117	0.97757	0.91175	0.97758	0.91174	0.97551	0.90988	0.97551	0.90988	0.9747	0.90955	0.97445	0.90915
904.39	0.98107	0.91205	0.98115	0.91209	0.98116	0.91207	0.97914	0.91026	0.97914	0.91026	0.97827	0.90992	0.97802	0.9095
925.93	0.98368	0.91142	0.98375	0.91146	0.98376	0.91145	0.98179	0.90968	0.98179	0.90969	0.98088	0.90932	0.98061	0.90889
947.46	0.98529	0.90983	0.98536	0.90987	0.98537	0.90986	0.98346	0.90815	0.98347	0.90815	0.98249	0.90777	0.98223	0.90732
968.99	0.98593	0.9073	0.98599	0.90734	0.986	0.90733	0.98416	0.90569	0.98417	0.90569	0.98314	0.90529	0.98287	0.90482
990.53	0.98562	0.90388	0.98567	0.90391	0.98568	0.9039	0.98392	0.90233	0.98392	0.90234	0.98284	0.90191	0.98256	0.90144
1012.1	0.9844	0.89961	0.98444	0.89964	0.98445	0.89963	0.98277	0.89814	0.98278	0.89814	0.98163	0.89771	0.98136	0.89721
1033.6	0.98233	0.89457	0.98237	0.8946	0.98237	0.89459	0.98079	0.89318	0.98079	0.89319	0.97959	0.89273	0.97932	0.89223
1055.1	0.97949	0.88885	0.97952	0.88887	0.97952	0.88887	0.97804	0.88754	0.97804	0.88755	0.97678	0.88707	0.97651	0.88655
1076.7	0.97597	0.88252	0.97599	0.88254	0.97599	0.88254	0.9746	0.8813	0.97461	0.88131	0.97328	0.88081	0.97302	0.88029
1098.2	0.97184	0.87569	0.97185	0.87571	0.97185	0.87571	0.97056	0.87456	0.97057	0.87456	0.96918	0.87405	0.96893	0.87352
1119.7	0.96722	0.86845	0.96722	0.86847	0.96721	0.86847	0.96603	0.86741	0.96604	0.86742	0.96458	0.86689	0.96434	0.86634
1141.3	0.96219	0.86091	0.96217	0.86093	0.96216	0.86093	0.96109	0.85995	0.9611	0.85996	0.95958	0.85942	0.95935	0.85886
1162.8	0.95685	0.85317	0.95683	0.85318	0.95681	0.85319	0.95584	0.8523	0.95585	0.85231	0.95426	0.85175	0.95406	0.85118
1184.3	0.95131	0.84531	0.95127	0.84532	0.95125	0.84533	0.95039	0.84453	0.9504	0.84454	0.94874	0.84396	0.94855	0.84339
1205.9	0.94565	0.83745	0.9456	0.83745	0.94558	0.83747	0.94482	0.83674	0.94483	0.83675	0.9431	0.83616	0.94293	0.83558
