# Data file generated by gp_save_table.m
# 
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.983539	-1.000000	-0.921811	-1.000000	-0.925926	-0.942387	-0.983539	-0.971193	-0.917695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-0.888889	-1.000000	-0.991770	-0.925926	-0.547325	-0.827160	-0.925926	-0.769547	-0.983539	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	1.000000	0.981481	1.000000	0.983539	1.000000	0.843621	1.000000	0.979424	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.925926	0.979424	1.000000	0.987654	0.983539	0.761317	1.000000	1.000000	1.000000	0.983539	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.255144	-0.090535	0.625514	-0.082305	0.600823	-0.946502	0.777778	0.790123	0.234568	-0.082305	0.000000	0.168724	0.600823	-0.024691	0.304527	0.275720	0.337449	-0.218107	-0.098765	0.921811	-0.362140	0.950617	0.650206	0.493827	-0.831276	
"LWFS 1024 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.302469	-0.491770	0.176955	-0.432099	0.069959	-0.942387	0.382716	-0.382716	-0.366255	-0.588477	-0.213992	-0.646091	-0.551440	-0.238683	-0.419753	0.000000	0.061728	-0.432099	0.283951	0.740741	-0.366255	1.000000	0.448560	0.069959	-0.987654	
"LWFS 1024 23"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M23_npw1024_corrected.wav	-0.382716	-0.751029	-0.191358	-0.740741	-0.226337	-0.975309	-0.156379	-0.226337	-0.506173	-0.930041	-0.835391	-0.740741	-0.946502	-0.399177	-0.296296	-0.144033	0.242798	-0.366255	-0.106996	-0.349794	-0.761317	0.629630	-0.679012	-0.246914	-0.452675	
"LWFS 1024 19"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M19_npw1024_corrected.wav	-0.804527	-0.878601	-0.592593	-0.872428	-0.613169	-0.958848	-0.526749	-0.572016	-0.736626	-0.967078	-0.814815	-0.884774	-0.860082	-0.810700	-0.753086	-0.860082	0.144033	-0.798354	-0.921811	-0.683128	-0.460905	0.333333	-0.872428	-0.613169	-0.983539	
"LWFS 1024 15"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M15_npw1024_corrected.wav	-0.555556	-0.738683	-0.448560	-0.687243	-0.469136	-0.958848	-0.226337	0.242798	-0.654321	-0.917695	-0.646091	-0.539095	-0.790123	-0.901235	-0.572016	-0.481481	-0.407407	-0.687243	-0.469136	-0.534979	-0.670782	-0.522634	-0.427984	-0.358025	-0.884774	
"LWFS 1024 11"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M11_npw1024_corrected.wav	-0.191358	-0.504115	0.125514	-0.452675	0.090535	-0.954733	0.069959	-0.098765	-0.300412	-0.674897	-0.555556	-0.329218	0.012346	0.255144	-0.238683	-0.596708	0.160494	-0.419753	0.411523	-0.452675	-0.609053	0.975309	-0.144033	0.296296	0.090535	
"LWFS 1024 7"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M07_npw1024_corrected.wav	0.117284	-0.144033	0.327160	-0.135802	0.312757	-0.942387	-0.316872	0.633745	-0.049383	0.119342	0.341564	0.473251	0.312757	0.242798	0.000000	-0.308642	0.555556	-0.135802	0.185185	0.197531	-0.152263	1.000000	-0.292181	-0.119342	0.115226	
"LWFS 1024 3"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M03_npw1024_corrected.wav	0.695473	0.576132	0.862140	0.600823	0.851852	-0.633745	0.604938	0.337449	0.707819	0.806584	0.551440	0.888889	0.600823	0.810700	0.843621	0.423868	0.872428	0.683128	0.497942	0.613169	0.617284	0.983539	0.897119	0.851852	0.971193	
