# Data file generated by gp_save_table.m
# 
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.967078	-1.000000	-0.909465	-1.000000	-0.909465	-0.962963	-0.020576	-0.909465	-1.000000	-1.000000	-1.000000	-0.983539	-1.000000	-1.000000	-1.000000	-0.979424	-0.946502	-0.962963	-0.954733	-0.448560	-0.909465	-1.000000	-0.502058	-0.670782	-0.971193	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	1.000000	0.969136	1.000000	0.983539	1.000000	0.954733	1.000000	0.485597	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.769547	1.000000	0.884774	1.000000	1.000000	0.806584	0.983539	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	-0.672840	-0.965021	-0.261317	-0.954733	-0.279835	-0.979424	-0.884774	-0.242798	-0.954733	-1.000000	-1.000000	-0.888889	-0.160494	-0.279835	-0.131687	-0.481481	-0.884774	-0.419753	-0.131687	-0.637860	-0.707819	-0.975309	-0.617284	0.465021	-0.987654	
"NFC-HOA"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.958848	-1.000000	-0.895062	-1.000000	-0.905350	-0.950617	-0.102881	-0.884774	-1.000000	-1.000000	-1.000000	-0.967078	-1.000000	-0.967078	-0.938272	-1.000000	-0.975309	-1.000000	-0.967078	-0.534979	-0.814815	-0.905350	-0.934156	-0.839506	-0.921811	
"Stereo"	brs/brs_posx0.00_posy0.00_stereo_corrected.wav	-0.851852	-0.948560	-0.724280	-0.925926	-0.757202	-0.979424	-0.971193	-0.757202	-0.893004	-1.000000	-1.000000	-0.843621	-0.609053	-0.835391	-0.855967	-0.855967	0.345679	-0.913580	-0.691358	-0.781893	-0.847737	-0.975309	0.320988	-0.925926	-0.596708	
"LWFS 1024 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.956790	-1.000000	-0.903292	-1.000000	-0.917695	-0.967078	-0.255144	-0.818930	-1.000000	-1.000000	-1.000000	-0.958848	-0.954733	-1.000000	-1.000000	-1.000000	-0.975309	-0.942387	-0.888889	-0.946502	-0.843621	-0.917695	-0.716049	-0.930041	-0.979424	
"LWFS 512 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.925926	-1.000000	-0.843621	-1.000000	-0.851852	-0.954733	-0.415638	-0.888889	-1.000000	-1.000000	-1.000000	-1.000000	-0.950617	-0.930041	-1.000000	-1.000000	-0.921811	-0.851852	-0.872428	-0.880658	-0.835391	-0.399177	-0.341564	-0.139918	-1.000000	
"LWFS 256 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	-0.938272	-0.985597	-0.751029	-0.983539	-0.769547	-0.962963	-0.769547	-0.905350	-1.000000	-1.000000	-1.000000	-0.979424	-0.950617	-0.917695	-0.983539	-1.000000	-0.930041	-0.946502	-0.526749	-0.674897	-0.732510	-0.427984	-0.835391	-0.728395	-0.987654	
"LWFS 128 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	-0.853909	-0.950617	-0.557613	-0.938272	-0.572016	-0.962963	-0.543210	-0.670782	-1.000000	-1.000000	-0.934156	-0.855967	-0.399177	-0.481481	-0.851852	-0.938272	-0.897119	-0.872428	-0.962963	-0.572016	-0.798354	-0.987654	0.176955	-0.460905	-0.765432	
"LWFS 64 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	-0.111111	-0.606996	0.203704	-0.469136	0.181070	-0.962963	-0.061728	0.316872	-0.744856	-0.827160	-0.403292	-0.847737	0.226337	-0.069959	-0.469136	-0.358025	0.288066	-0.172840	-0.115226	-0.106996	-0.086420	1.000000	0.613169	0.181070	-0.987654	
