# Data file generated by gp_save_table.m
# 
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.989712	-1.000000	-0.938272	-1.000000	-0.950617	-0.962963	-0.386831	-0.979424	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-0.958848	-0.987654	-1.000000	-0.991770	-0.950617	-0.802469	-0.814815	-0.893004	-0.925926	-0.991770	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.997942	0.899177	1.000000	0.913580	1.000000	0.670782	1.000000	0.839506	1.000000	1.000000	0.995885	1.000000	1.000000	1.000000	1.000000	1.000000	0.913580	1.000000	0.917695	0.987654	0.872428	0.818930	1.000000	0.884774	0.987654	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	-0.419753	-0.806584	-0.045267	-0.794239	-0.045267	-0.942387	-0.045267	-0.333333	-0.794239	-1.000000	-0.921811	-0.872428	-0.045267	-0.506173	-0.662551	-0.522634	-0.818930	-0.222222	0.086420	-0.160494	0.255144	0.197531	0.078189	-0.251029	-0.641975	
"NFC-HOA"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.625514	-0.923868	-0.207819	-0.921811	-0.222222	-0.954733	-0.193416	-0.222222	-0.921811	-1.000000	-0.925926	-0.802469	-0.609053	-0.777778	-0.283951	-0.707819	0.074074	-0.032922	-0.172840	-0.061728	-0.613169	-1.000000	-0.637860	-0.604938	-0.995885	
"Stereo"	brs/brs_posx-0.50_posy0.75_stereo_corrected.wav	0.006173	-0.639918	0.452675	-0.613169	0.444444	-0.958848	0.460905	-0.740741	0.000000	0.012346	-0.724280	-0.613169	-0.888889	-0.666667	-0.098765	-0.020576	0.625514	0.609053	0.921811	0.078189	0.444444	0.658436	0.308642	0.279835	0.000000	
"LWFS 1024 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.738683	-0.956790	-0.621399	-0.950617	-0.625514	-0.925926	-0.625514	-0.506173	-0.962963	-1.000000	-1.000000	-0.962963	-0.761317	-0.617284	-0.950617	-0.736626	-0.637860	-0.711934	-0.740741	-0.613169	-0.637860	0.279835	-1.000000	-0.106996	-0.934156	
"LWFS 512 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.855967	-0.944444	-0.701646	-0.942387	-0.728395	-0.946502	0.168724	-0.407407	-0.942387	-1.000000	-0.930041	-0.958848	-0.880658	-0.617284	-0.901235	-0.674897	-0.786008	-0.864198	-0.440329	-0.728395	-0.847737	-1.000000	-0.765432	-0.748971	-0.987654	
"LWFS 256 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	-0.781893	-0.917695	-0.465021	-0.888889	-0.465021	-0.946502	-0.765432	-0.465021	-0.962963	-1.000000	-0.884774	-0.888889	-0.860082	-0.613169	-0.950617	-0.740741	-0.798354	-0.432099	-0.465021	-0.448560	-0.864198	0.485597	-0.510288	-0.419753	-0.991770	
"LWFS 128 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	-0.294239	-0.705761	0.000000	-0.613169	0.000000	-0.942387	0.255144	-0.267490	-0.868313	-0.798354	-0.320988	-0.897119	-0.131687	0.000000	-0.506173	-0.460905	-0.613169	0.362140	0.000000	-0.218107	-0.382716	0.349794	-0.172840	0.629630	-0.868313	
"LWFS 64 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	-0.168724	-0.559671	0.152263	-0.543210	0.139918	-0.946502	-0.069959	-0.423868	-0.728395	-1.000000	-0.576132	-0.802469	-0.213992	0.168724	-0.510288	-0.543210	0.164609	0.041152	0.325103	0.139918	-0.209877	0.769547	0.522634	0.078189	-0.127572	
