# Data file generated by gp_save_table.m
# 
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.969136	-1.000000	-0.806584	-1.000000	-0.810700	-0.979424	-0.983539	-0.967078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-0.971193	-1.000000	-0.724280	-0.995885	-0.884774	-0.670782	-0.703704	-0.897119	0.308642	-0.810700	-0.802469	-0.950617	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	1.000000	0.995885	1.000000	0.995885	1.000000	0.407407	1.000000	0.958848	1.000000	1.000000	0.995885	1.000000	1.000000	1.000000	1.000000	1.000000	0.995885	1.000000	1.000000	1.000000	0.283951	1.000000	1.000000	1.000000	0.971193	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	0.283951	-0.113169	0.613169	-0.061728	0.588477	-0.934156	0.711934	0.588477	-0.061728	0.123457	-0.518519	0.181070	0.794239	0.637860	-0.164609	-0.164609	1.000000	0.000000	0.510288	0.818930	-0.497942	0.448560	0.518519	0.386831	0.135802	
"NFC-HOA"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.962963	-1.000000	-0.839506	-1.000000	-0.851852	-0.971193	-0.530864	-0.954733	-1.000000	-1.000000	-1.000000	-0.962963	-1.000000	-0.971193	-1.000000	-0.888889	-0.921811	-0.851852	-0.975309	-0.962963	-0.827160	0.028807	-1.000000	-0.666667	-0.802469	
"Stereo"	brs/brs_posx0.00_posy0.00_stereo_corrected.wav	-0.240741	-0.551440	0.115226	-0.547325	0.106996	-0.942387	0.596708	-0.736626	-0.460905	-0.341564	-0.662551	-0.353909	0.123457	0.000000	0.074074	-0.168724	0.588477	-0.312757	-0.555556	-0.069959	-0.757202	0.703704	0.106996	0.456790	-0.547325	
"LWFS 1024 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.923868	-0.989712	-0.806584	-0.983539	-0.823045	-0.913580	-0.917695	-0.876543	-1.000000	-1.000000	-1.000000	-0.683128	-1.000000	-0.975309	-0.995885	-0.790123	-0.950617	-0.781893	-0.823045	-0.983539	-0.843621	0.444444	-0.497942	-0.930041	-0.958848	
"LWFS 512 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.936214	-0.993827	-0.901235	-0.987654	-0.901235	-0.987654	-0.942387	-0.954733	-1.000000	-1.000000	-1.000000	-0.967078	-1.000000	-1.000000	-0.917695	-0.962963	-0.901235	-0.909465	-0.880658	-0.901235	-0.930041	0.127572	-0.909465	-0.374486	-0.526749	
"LWFS 256 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	-0.901235	-0.983539	-0.783951	-0.983539	-0.810700	-0.971193	-0.938272	-0.148148	-1.000000	-1.000000	-1.000000	-0.983539	-0.930041	-0.843621	-0.757202	-0.876543	-0.983539	-1.000000	-0.522634	-0.810700	-0.893004	0.123457	-0.329218	-0.909465	-0.876543	
"LWFS 128 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	-0.012346	-0.460905	0.158436	-0.460905	0.152263	-0.934156	0.300412	0.069959	0.152263	-0.699588	-0.460905	-0.111111	0.292181	0.341564	-0.460905	0.164609	0.045267	-0.308642	-0.374486	0.098765	-0.633745	0.106996	0.242798	-0.069959	-0.987654	
"LWFS 64 27"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.606996	0.125514	0.800412	0.144033	0.786008	-0.790123	0.925926	0.814815	0.300412	0.407407	0.000000	0.543210	0.786008	0.641975	0.144033	0.106996	0.991770	0.592593	0.773663	0.930041	-0.279835	0.917695	0.707819	0.621399	-0.995885	
