
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d.dat', M) binary matrix"

# Contour 0, label:  1.5e+03
0.718334 1.23896 1500 
0.720569 1.23499 1500 
0.724249 1.2286 1500 
0.730129 1.21823 1500 
0.730936 1.21679 1500 
0.736064 1.20786 1500 
0.741304 1.19859 1500 
0.741938 1.19749 1500 
0.747872 1.18712 1500 
0.751672 1.18039 1500 
0.753766 1.17676 1500 
0.759674 1.16639 1500 
0.76204 1.16219 1500 
0.765587 1.15602 1500 
0.77147 1.14565 1500 
0.772408 1.14398 1500 
0.777402 1.13528 1500 
0.782776 1.12578 1500 
0.783276 1.12492 1500 
0.78921 1.11455 1500 
0.793144 1.10758 1500 
0.795103 1.10418 1500 
0.801013 1.09381 1500 
0.803512 1.08938 1500 
0.806924 1.08344 1500 
0.812811 1.07308 1500 
0.81388 1.07118 1500 
0.818739 1.06271 1500 
0.824247 1.05298 1500 
0.824613 1.05234 1500 
0.830549 1.04197 1500 
0.834615 1.03478 1500 
0.836441 1.03161 1500 
0.842353 1.02124 1500 
0.844983 1.01657 1500 
0.848262 1.01087 1500 
0.854152 1.0005 1500 
0.855351 0.998372 1500 
0.860077 0.990134 1500 
0.865719 0.980169 1500 
0.865951 0.979766 1500 
0.871888 0.969398 1500 
0.876087 0.961969 1500 
0.877778 0.95903 1500 
0.883692 0.948662 1500 
0.886455 0.943768 1500 
0.8896 0.938294 1500 
0.895492 0.927926 1500 
0.896823 0.925565 1500 
0.901416 0.917559 1500 
0.907191 0.907362 1500 
0.90729 0.907191 1500 
0.913226 0.896823 1500 
0.917559 0.889162 1500 
0.919116 0.886455 1500 
0.925032 0.876087 1500 
0.927926 0.870961 1500 
0.930938 0.865719 1500 
0.936833 0.855351 1500 
0.938294 0.852759 1500 

# Contour 3, label: 
-1.30889 0.202174 1500 
-1.31154 0.197502 1500 
-1.3148 0.191806 1500 
-1.3207 0.181438 1500 
-1.32191 0.1793 1500 
-1.32662 0.17107 1500 
-1.33227 0.161098 1500 
